partner_pk,delivery_partner_id,age,partner_rating,vehicle_type
49,CHENRES11DEL01,37,4.8,motorcycle 
50,SURRES09DEL01,33,5.0,scooter 
51,RANCHIRES15DEL01,31,4.9,motorcycle 
52,BANGRES19DEL01,31,4.8,scooter 
53,AURGRES20DEL03,25,5.0,motorcycle 
54,COIMBRES14DEL02,28,4.8,motorcycle 
55,SURRES08DEL03,31,4.7,motorcycle 
56,COIMBRES07DEL03,24,4.7,motorcycle 
57,AGRRES12DEL03,39,4.6,motorcycle 
58,VADRES02DEL02,39,4.2,scooter 
59,JAPRES14DEL01,32,4.5,scooter 
60,VADRES04DEL03,36,4.7,motorcycle 
61,JAPRES18DEL02,25,4.8,scooter 
62,MYSRES04DEL03,33,4.9,scooter 
63,SURRES12DEL01,30,4.4,scooter 
64,MUMRES04DEL01,33,5.0,motorcycle 
65,PUNERES02DEL01,36,4.9,scooter 
66,ALHRES07DEL02,21,4.8,electric_scooter 
67,DEHRES19DEL02,39,4.9,motorcycle 
68,VADRES16DEL02,23,4.8,scooter 
69,VADRES09DEL01,35,4.8,scooter 
70,CHENRES12DEL03,39,4.6,scooter 
71,SURRES11DEL01,22,4.7,scooter 
72,SURRES01DEL01,32,4.6,scooter 
73,VADRES15DEL02,24,4.8,motorcycle 
74,MYSRES14DEL02,29,4.7,motorcycle 
75,BANGRES13DEL01,29,4.6,scooter 
76,HYDRES13DEL03,26,4.7,motorcycle 
77,BHPRES12DEL02,20,4.5,motorcycle 
78,CHENRES11DEL03,35,4.1,motorcycle 
79,BANGRES010DEL03,39,4.6,scooter 
80,VADRES20DEL01,34,4.7,electric_scooter 
81,BANGRES11DEL01,27,4.7,scooter 
82,DEHRES01DEL01,30,4.8,motorcycle 
83,CHENRES02DEL01,25,4.4,scooter 
84,MUMRES04DEL01,25,4.7,motorcycle 
85,JAPRES03DEL02,30,5.0,motorcycle 
86,HYDRES04DEL03,24,4.6,motorcycle 
87,PUNERES14DEL02,39,4.8,motorcycle 
88,GOARES04DEL01,25,4.8,scooter 
89,AURGRES08DEL02,37,4.6,motorcycle 
90,BANGRES12DEL01,24,5.0,motorcycle 
91,HYDRES05DEL01,25,4.2,motorcycle 
92,RANCHIRES17DEL01,32,4.6,motorcycle 
93,AGRRES010DEL01,34,4.7,scooter 
94,INDORES12DEL02,38,4.9,scooter 
95,JAPRES15DEL03,36,4.8,electric_scooter 
96,SURRES16DEL01,25,5.0,motorcycle 
97,MYSRES16DEL02,29,5.0,motorcycle 
98,MUMRES05DEL03,36,4.7,electric_scooter 
99,COIMBRES19DEL02,33,4.7,motorcycle 
100,MYSRES07DEL01,36,4.4,scooter 
101,PUNERES17DEL01,21,4.8,motorcycle 
102,HYDRES19DEL03,25,4.8,scooter 
103,MUMRES14DEL02,23,4.8,motorcycle 
104,COIMBRES02DEL01,25,4.6,motorcycle 
105,INDORES05DEL02,24,4.3,motorcycle 
106,BANGRES03DEL03,27,4.6,motorcycle 
107,MUMRES11DEL01,23,4.8,scooter 
108,MYSRES12DEL02,21,4.3,scooter 
109,SURRES09DEL02,27,4.7,scooter 
110,COIMBRES12DEL02,32,4.2,motorcycle 
111,SURRES08DEL01,25,4.6,motorcycle 
112,KNPRES05DEL02,39,4.7,scooter 
113,SURRES05DEL02,27,4.6,motorcycle 
114,MUMRES15DEL01,39,3.8,motorcycle 
115,BANGRES15DEL02,31,4.8,scooter 
116,RANCHIRES11DEL03,31,4.8,electric_scooter 
117,MYSRES08DEL01,20,4.8,motorcycle 
118,RANCHIRES07DEL02,36,4.9,motorcycle 
119,RANCHIRES01DEL03,20,4.9,motorcycle 
120,JAPRES17DEL03,24,4.6,motorcycle 
121,VADRES06DEL01,29,4.6,electric_scooter 
122,INDORES14DEL01,39,4.2,scooter 
123,COIMBRES17DEL01,37,4.8,scooter 
124,CHENRES11DEL01,32,4.9,motorcycle 
125,KNPRES17DEL02,22,4.5,scooter 
126,COIMBRES12DEL02,23,4.9,scooter 
127,RANCHIRES04DEL01,33,4.7,scooter 
128,KOLRES17DEL03,23,4.6,motorcycle 
129,BANGRES19DEL02,27,4.6,motorcycle 
130,MUMRES17DEL01,34,4.7,scooter 
131,SURRES14DEL01,26,5.0,scooter 
132,VADRES14DEL03,31,4.6,motorcycle 
133,PUNERES09DEL02,32,4.9,motorcycle 
134,INDORES19DEL02,27,4.7,motorcycle 
135,BANGRES010DEL03,21,4.9,motorcycle 
136,BANGRES12DEL02,28,4.8,motorcycle 
137,VADRES04DEL01,24,4.9,scooter 
138,HYDRES14DEL01,33,4.4,motorcycle 
139,BANGRES11DEL03,20,4.6,motorcycle 
140,COIMBRES13DEL03,31,4.3,motorcycle 
141,PUNERES05DEL03,29,4.6,scooter 
142,VADRES20DEL01,36,5.0,motorcycle 
143,CHENRES19DEL01,31,4.2,motorcycle 
144,HYDRES02DEL03,39,4.1,scooter 
145,SURRES010DEL02,29,4.6,electric_scooter 
146,SURRES03DEL01,29,4.6,scooter 
147,COIMBRES17DEL03,37,4.9,motorcycle 
148,VADRES08DEL01,33,4.7,motorcycle 
149,MUMRES08DEL01,31,3.9,scooter 
150,VADRES18DEL01,37,4.6,motorcycle 
151,BANGRES04DEL03,26,4.4,motorcycle 
152,COIMBRES02DEL01,24,4.6,motorcycle 
153,RANCHIRES12DEL02,23,4.8,scooter 
154,VADRES18DEL01,36,4.9,scooter 
155,MYSRES13DEL01,39,4.8,motorcycle 
156,COIMBRES03DEL02,20,4.7,motorcycle 
157,MYSRES16DEL02,20,5.0,motorcycle 
158,KOLRES04DEL03,29,4.3,motorcycle 
159,COIMBRES11DEL01,36,4.8,motorcycle 
160,VADRES13DEL03,36,4.0,motorcycle 
161,RANCHIRES04DEL02,22,4.8,scooter 
162,PUNERES18DEL01,38,4.4,motorcycle 
163,SURRES01DEL02,39,4.9,motorcycle 
164,INDORES08DEL02,24,4.9,scooter 
165,VADRES18DEL01,30,4.1,motorcycle 
166,HYDRES18DEL03,35,4.8,motorcycle 
167,CHENRES07DEL03,33,4.5,electric_scooter 
168,KOCRES010DEL01,39,4.7,motorcycle 
169,VADRES11DEL02,31,4.3,motorcycle 
170,CHENRES20DEL01,37,4.5,scooter 
171,MYSRES04DEL03,37,4.7,scooter 
172,MUMRES13DEL01,33,5.0,motorcycle 
173,RANCHIRES03DEL03,24,4.6,scooter 
174,JAPRES08DEL02,33,4.5,scooter 
175,ALHRES12DEL01,39,4.7,motorcycle 
176,RANCHIRES11DEL03,37,4.6,motorcycle 
177,HYDRES19DEL02,25,4.9,scooter 
178,PUNERES17DEL03,28,4.8,scooter 
179,MYSRES010DEL01,38,4.7,motorcycle 
180,JAPRES03DEL01,29,4.6,motorcycle 
181,MYSRES04DEL03,31,4.6,motorcycle 
182,MUMRES06DEL03,25,4.8,motorcycle 
183,MYSRES18DEL01,35,4.9,motorcycle 
184,RANCHIRES18DEL01,39,4.7,motorcycle 
185,INDORES06DEL02,38,3.9,motorcycle 
186,CHENRES15DEL03,35,4.7,motorcycle 
187,JAPRES07DEL02,29,4.7,motorcycle 
188,SURRES18DEL03,27,4.6,scooter 
189,MYSRES04DEL03,38,4.3,motorcycle 
190,SURRES19DEL01,36,4.9,motorcycle 
191,HYDRES04DEL01,26,4.0,motorcycle 
192,KNPRES16DEL03,26,4.1,motorcycle 
193,MYSRES12DEL03,36,4.9,motorcycle 
194,JAPRES09DEL01,21,4.7,motorcycle 
195,CHENRES04DEL02,35,4.7,electric_scooter 
196,MYSRES09DEL01,20,4.5,motorcycle 
197,PUNERES19DEL03,23,4.6,motorcycle 
198,KOLRES18DEL03,37,5.0,motorcycle 
199,BANGRES14DEL03,26,4.8,motorcycle 
200,SURRES09DEL02,29,5.0,scooter 
201,INDORES09DEL01,26,4.9,motorcycle 
202,PUNERES09DEL03,29,4.8,motorcycle 
203,RANCHIRES01DEL02,29,4.7,motorcycle 
204,LUDHRES010DEL03,21,4.9,scooter 
205,MYSRES13DEL02,22,4.3,motorcycle 
206,JAPRES18DEL02,31,4.0,motorcycle 
207,COIMBRES11DEL02,20,4.5,motorcycle 
208,VADRES13DEL02,30,3.9,electric_scooter 
209,BANGRES01DEL01,36,4.8,motorcycle 
210,MYSRES08DEL01,24,4.7,scooter 
211,MYSRES15DEL01,32,4.7,electric_scooter 
212,CHENRES02DEL03,25,5.0,motorcycle 
213,HYDRES12DEL01,27,4.5,scooter 
214,BANGRES07DEL01,32,4.1,motorcycle 
215,CHENRES09DEL01,23,4.7,motorcycle 
216,BANGRES04DEL02,39,4.4,motorcycle 
217,VADRES04DEL03,20,4.8,motorcycle 
218,JAPRES13DEL02,20,4.8,electric_scooter 
219,ALHRES07DEL03,29,4.6,scooter 
220,JAPRES06DEL03,26,4.9,scooter 
221,KOCRES03DEL01,25,5.0,motorcycle 
222,BANGRES13DEL01,34,4.7,motorcycle 
223,GOARES02DEL01,31,4.9,motorcycle 
224,RANCHIRES03DEL02,24,4.7,motorcycle 
225,HYDRES12DEL03,30,4.9,motorcycle 
226,JAPRES07DEL02,36,4.8,motorcycle 
227,JAPRES13DEL03,36,4.4,motorcycle 
228,JAPRES18DEL03,26,4.7,motorcycle 
229,VADRES05DEL01,30,4.6,scooter 
230,AURGRES02DEL03,20,4.8,scooter 
231,BANGRES17DEL02,33,4.7,electric_scooter 
232,RANCHIRES14DEL01,29,4.6,scooter 
233,MUMRES20DEL03,34,4.0,motorcycle 
234,HYDRES14DEL02,36,4.6,motorcycle 
235,KNPRES02DEL02,33,4.6,motorcycle 
236,AURGRES19DEL01,22,4.8,motorcycle 
237,PUNERES18DEL01,38,4.7,scooter 
238,BANGRES08DEL02,27,4.9,scooter 
239,KNPRES16DEL01,32,4.8,scooter 
240,BANGRES010DEL02,26,4.8,motorcycle 
241,INDORES03DEL02,29,4.5,motorcycle 
242,COIMBRES16DEL02,31,4.5,motorcycle 
243,HYDRES20DEL01,28,4.6,motorcycle 
244,AGRRES08DEL03,21,4.8,motorcycle 
245,COIMBRES15DEL02,21,4.0,motorcycle 
246,RANCHIRES12DEL02,30,4.9,motorcycle 
247,ALHRES05DEL01,29,4.7,motorcycle 
248,MUMRES01DEL01,20,4.8,motorcycle 
249,AURGRES14DEL03,28,5.0,motorcycle 
250,MUMRES13DEL01,25,4.7,motorcycle 
251,PUNERES16DEL01,29,4.6,motorcycle 
252,CHENRES14DEL02,38,4.8,motorcycle 
253,HYDRES06DEL03,39,4.9,motorcycle 
254,SURRES18DEL03,26,4.9,scooter 
255,COIMBRES02DEL01,33,4.4,motorcycle 
256,VADRES13DEL03,24,4.6,motorcycle 
257,COIMBRES16DEL01,24,4.9,motorcycle 
258,INDORES13DEL03,33,4.5,scooter 
259,INDORES12DEL03,35,4.2,motorcycle 
260,MUMRES13DEL03,27,4.2,motorcycle 
261,CHENRES06DEL02,29,4.6,scooter 
262,BANGRES06DEL03,29,4.5,motorcycle 
263,AGRRES11DEL02,34,4.7,scooter 
264,KNPRES15DEL02,20,4.7,scooter 
265,VADRES13DEL01,29,4.8,motorcycle 
266,VADRES01DEL03,22,4.9,scooter 
267,AGRRES03DEL01,35,4.9,motorcycle 
268,KOCRES14DEL01,32,4.4,motorcycle 
269,LUDHRES18DEL01,28,4.9,motorcycle 
270,COIMBRES14DEL02,30,4.7,scooter 
271,CHENRES19DEL01,22,4.7,scooter 
272,COIMBRES15DEL02,36,4.7,motorcycle 
273,SURRES20DEL02,23,4.8,motorcycle 
274,INDORES18DEL02,22,4.8,motorcycle 
275,AURGRES04DEL02,29,4.5,motorcycle 
276,CHENRES01DEL01,34,4.9,motorcycle 
277,BANGRES010DEL01,38,4.1,motorcycle 
278,VADRES09DEL01,35,5.0,motorcycle 
279,VADRES15DEL03,38,4.7,scooter 
280,DEHRES010DEL01,32,4.3,scooter 
281,BANGRES07DEL01,20,4.5,motorcycle 
282,CHENRES05DEL02,25,4.9,motorcycle 
283,JAPRES06DEL03,29,4.5,scooter 
284,AGRRES12DEL03,32,4.7,scooter 
285,DEHRES12DEL02,39,4.1,motorcycle 
286,VADRES01DEL01,31,4.4,motorcycle 
287,SURRES13DEL02,37,4.5,motorcycle 
288,LUDHRES05DEL03,36,4.9,electric_scooter 
289,JAPRES16DEL03,37,3.8,motorcycle 
290,PUNERES02DEL03,29,4.6,scooter 
291,COIMBRES14DEL01,38,4.9,scooter 
292,AGRRES010DEL02,37,4.4,motorcycle 
293,SURRES14DEL03,21,4.9,scooter 
294,JAPRES04DEL03,35,4.9,electric_scooter 
295,JAPRES01DEL03,22,4.8,scooter 
296,HYDRES010DEL02,28,4.8,motorcycle 
297,MYSRES16DEL02,39,4.0,motorcycle 
298,BANGRES15DEL02,29,4.5,scooter 
299,CHENRES15DEL02,39,4.6,motorcycle 
300,MYSRES05DEL02,25,4.9,electric_scooter 
301,COIMBRES03DEL03,34,5.0,electric_scooter 
302,BANGRES01DEL02,22,4.8,motorcycle 
303,KNPRES12DEL01,27,5.0,motorcycle 
304,MUMRES010DEL01,28,4.5,motorcycle 
305,COIMBRES20DEL03,32,5.0,scooter 
306,RANCHIRES08DEL01,29,4.6,scooter 
307,HYDRES16DEL01,27,4.6,motorcycle 
308,MUMRES01DEL02,35,3.9,motorcycle 
309,MYSRES08DEL03,22,4.6,motorcycle 
310,AURGRES16DEL03,35,4.7,electric_scooter 
311,VADRES11DEL01,30,4.6,motorcycle 
312,MYSRES09DEL02,39,4.8,scooter 
313,HYDRES18DEL03,33,4.8,motorcycle 
314,PUNERES05DEL02,20,4.7,scooter 
315,VADRES04DEL03,20,4.7,motorcycle 
316,MYSRES02DEL03,34,4.2,motorcycle 
317,MYSRES03DEL01,22,4.7,motorcycle 
318,JAPRES16DEL02,37,4.3,scooter 
319,MUMRES010DEL01,20,4.8,motorcycle 
320,SURRES15DEL02,33,4.9,motorcycle 
321,INDORES06DEL02,21,5.0,motorcycle 
322,VADRES06DEL01,33,4.6,motorcycle 
323,BANGRES04DEL02,24,4.6,electric_scooter 
324,RANCHIRES12DEL02,36,4.7,scooter 
325,MUMRES19DEL03,30,4.6,motorcycle 
326,HYDRES05DEL03,32,4.9,scooter 
327,HYDRES010DEL02,28,4.6,electric_scooter 
328,JAPRES07DEL02,21,4.7,scooter 
329,AURGRES12DEL02,39,4.9,motorcycle 
330,CHENRES15DEL02,32,4.7,motorcycle 
331,MUMRES07DEL03,20,4.5,scooter 
332,VADRES12DEL03,29,4.6,motorcycle 
333,JAPRES16DEL01,36,5.0,scooter 
334,BANGRES09DEL02,28,4.8,scooter 
335,PUNERES12DEL02,32,4.5,motorcycle 
336,CHENRES19DEL01,39,4.4,scooter 
337,SURRES07DEL01,30,4.7,motorcycle 
338,PUNERES19DEL01,32,4.4,motorcycle 
339,INDORES15DEL03,23,4.6,motorcycle 
340,MUMRES01DEL01,21,4.8,scooter 
341,INDORES17DEL03,31,4.2,electric_scooter 
342,MUMRES13DEL02,37,4.6,electric_scooter 
343,SURRES18DEL02,20,4.5,motorcycle 
344,JAPRES14DEL01,28,4.5,motorcycle 
345,MYSRES08DEL01,22,4.9,motorcycle 
346,HYDRES19DEL03,20,4.7,motorcycle 
347,RANCHIRES010DEL02,34,4.8,scooter 
348,CHENRES09DEL01,38,4.8,scooter 
349,BANGRES13DEL02,29,4.6,scooter 
350,RANCHIRES01DEL01,32,4.5,motorcycle 
351,PUNERES12DEL01,34,4.9,scooter 
352,INDORES07DEL03,33,3.9,electric_scooter 
353,INDORES19DEL02,34,4.5,motorcycle 
354,VADRES04DEL03,32,4.6,motorcycle 
355,BANGRES20DEL01,29,4.6,scooter 
356,MYSRES02DEL02,34,4.7,motorcycle 
357,SURRES05DEL01,26,4.6,scooter 
358,BANGRES13DEL02,31,4.0,motorcycle 
359,SURRES010DEL01,39,4.8,motorcycle 
360,ALHRES09DEL01,27,4.8,motorcycle 
361,HYDRES18DEL02,32,5.0,scooter 
362,KOLRES03DEL02,32,4.5,motorcycle 
363,RANCHIRES16DEL01,39,4.1,motorcycle 
364,PUNERES12DEL01,36,4.8,electric_scooter 
365,BANGRES16DEL03,37,4.1,motorcycle 
366,RANCHIRES01DEL03,37,4.8,scooter 
367,PUNERES12DEL01,38,3.7,motorcycle 
368,RANCHIRES01DEL02,28,4.7,scooter 
369,PUNERES06DEL01,34,3.8,scooter 
370,CHENRES15DEL01,32,4.9,motorcycle 
371,JAPRES010DEL03,22,4.7,motorcycle 
372,KOLRES15DEL03,31,4.0,motorcycle 
373,MYSRES15DEL02,27,4.0,motorcycle 
374,COIMBRES19DEL01,29,4.9,scooter 
375,COIMBRES09DEL03,38,4.8,motorcycle 
376,SURRES19DEL02,35,4.8,motorcycle 
377,BANGRES20DEL03,31,4.9,motorcycle 
378,CHENRES16DEL03,30,4.3,scooter 
379,RANCHIRES12DEL03,24,4.9,motorcycle 
380,HYDRES11DEL03,33,4.8,motorcycle 
381,DEHRES19DEL01,29,4.6,motorcycle 
382,MUMRES15DEL01,38,4.6,scooter 
383,RANCHIRES18DEL03,26,4.9,motorcycle 
384,VADRES07DEL01,39,4.8,scooter 
385,VADRES04DEL01,24,4.5,motorcycle 
386,PUNERES17DEL03,34,4.2,motorcycle 
387,JAPRES07DEL03,26,4.7,motorcycle 
388,INDORES07DEL01,35,4.7,motorcycle 
389,BANGRES04DEL03,36,4.2,motorcycle 
390,VADRES01DEL01,24,2.6,motorcycle 
391,VADRES18DEL01,29,4.6,motorcycle 
392,MUMRES07DEL01,33,4.3,motorcycle 
393,AURGRES03DEL01,26,4.6,motorcycle 
394,CHENRES17DEL01,32,5.0,scooter 
395,JAPRES20DEL03,37,4.9,motorcycle 
396,KOCRES14DEL02,26,4.9,scooter 
397,COIMBRES09DEL02,31,4.8,scooter 
398,CHENRES08DEL03,37,4.6,motorcycle 
399,MUMRES08DEL01,26,4.7,scooter 
400,INDORES010DEL03,37,4.8,motorcycle 
401,RANCHIRES03DEL02,22,4.6,motorcycle 
402,SURRES04DEL03,21,4.4,motorcycle 
403,BANGRES16DEL01,22,4.0,motorcycle 
404,CHENRES14DEL01,38,4.5,motorcycle 
405,CHENRES03DEL01,28,4.0,motorcycle 
406,VADRES09DEL02,29,4.7,scooter 
407,VADRES11DEL01,31,4.9,motorcycle 
408,SURRES12DEL02,24,4.8,scooter 
409,VADRES04DEL01,33,4.8,motorcycle 
410,PUNERES11DEL03,26,4.9,motorcycle 
411,RANCHIRES18DEL02,29,4.6,scooter 
412,COIMBRES14DEL02,20,4.7,scooter 
413,SURRES19DEL02,29,4.8,scooter 
414,BANGRES15DEL01,32,4.0,motorcycle 
415,VADRES20DEL01,20,4.9,motorcycle 
416,CHENRES19DEL01,26,5.0,electric_scooter 
417,SURRES09DEL01,38,4.8,motorcycle 
418,GOARES17DEL01,34,4.6,electric_scooter 
419,JAPRES19DEL02,27,4.5,motorcycle 
420,KOLRES18DEL01,29,5.0,motorcycle 
421,SURRES07DEL02,24,4.9,motorcycle 
422,INDORES12DEL01,21,4.9,motorcycle 
423,LUDHRES16DEL01,33,4.4,motorcycle 
424,RANCHIRES06DEL03,35,4.7,motorcycle 
425,COIMBRES16DEL02,35,4.7,scooter 
426,DEHRES13DEL02,29,4.6,scooter 
427,MYSRES06DEL03,29,4.6,motorcycle 
428,MUMRES16DEL01,29,4.8,motorcycle 
429,PUNERES19DEL02,21,4.9,motorcycle 
430,BANGRES08DEL01,29,4.6,motorcycle 
431,BANGRES010DEL03,22,4.7,motorcycle 
432,MYSRES20DEL01,29,4.6,scooter 
433,AGRRES01DEL02,24,4.4,scooter 
434,MYSRES18DEL01,23,4.9,scooter 
435,CHENRES010DEL01,27,4.6,scooter 
436,COIMBRES20DEL02,33,4.1,motorcycle 
437,HYDRES16DEL01,35,4.6,scooter 
438,COIMBRES14DEL03,21,4.7,scooter 
439,CHENRES11DEL03,39,4.4,motorcycle 
440,CHENRES010DEL02,34,4.8,scooter 
441,SURRES16DEL01,29,4.9,motorcycle 
442,MUMRES07DEL02,20,4.7,scooter 
443,ALHRES11DEL01,20,4.8,motorcycle 
444,RANCHIRES01DEL03,30,4.7,motorcycle 
445,DEHRES07DEL02,37,4.7,scooter 
446,INDORES08DEL03,39,4.6,motorcycle 
447,HYDRES01DEL01,26,5.0,motorcycle 
448,ALHRES11DEL02,32,4.9,motorcycle 
449,PUNERES13DEL03,21,4.7,scooter 
450,BANGRES20DEL02,35,4.8,scooter 
451,RANCHIRES01DEL03,39,4.6,motorcycle 
452,BANGRES08DEL02,39,5.0,motorcycle 
453,KOCRES20DEL01,27,4.9,motorcycle 
454,CHENRES16DEL03,33,4.8,scooter 
455,HYDRES04DEL02,33,4.8,motorcycle 
456,BANGRES01DEL01,37,4.7,motorcycle 
457,COIMBRES12DEL02,20,4.6,motorcycle 
458,LUDHRES07DEL02,20,4.6,motorcycle 
459,PUNERES010DEL01,31,4.2,scooter 
460,COIMBRES19DEL02,27,4.6,electric_scooter 
461,VADRES010DEL02,37,4.9,scooter 
462,BANGRES14DEL02,34,4.4,scooter 
463,COIMBRES05DEL03,25,4.7,motorcycle 
464,AURGRES07DEL02,37,4.7,motorcycle 
465,KOCRES11DEL01,23,4.7,scooter 
466,MYSRES17DEL01,27,5.0,motorcycle 
467,HYDRES13DEL02,36,4.7,electric_scooter 
468,JAPRES14DEL03,30,4.3,motorcycle 
469,AURGRES20DEL01,20,4.9,motorcycle 
470,COIMBRES13DEL01,28,4.7,scooter 
471,VADRES07DEL02,36,4.0,motorcycle 
472,CHENRES08DEL02,20,4.7,scooter 
473,PUNERES04DEL01,22,4.7,motorcycle 
474,MYSRES15DEL01,28,4.7,motorcycle 
475,SURRES03DEL01,34,4.8,electric_scooter 
476,VADRES01DEL01,25,4.8,scooter 
477,AURGRES05DEL02,38,5.0,scooter 
478,JAPRES17DEL02,34,3.5,motorcycle 
479,VADRES13DEL01,24,4.9,motorcycle 
480,RANCHIRES04DEL03,33,4.6,motorcycle 
481,KOLRES14DEL02,21,4.6,scooter 
482,KOLRES04DEL03,25,4.6,motorcycle 
483,VADRES14DEL01,23,4.9,motorcycle 
484,LUDHRES06DEL02,34,4.9,motorcycle 
485,HYDRES010DEL01,25,4.7,scooter 
486,ALHRES08DEL03,28,4.9,electric_scooter 
487,PUNERES07DEL01,34,3.7,scooter 
488,JAPRES20DEL01,24,4.5,scooter 
489,CHENRES14DEL03,31,5.0,motorcycle 
490,MUMRES14DEL03,38,4.6,scooter 
491,DEHRES04DEL03,32,4.8,motorcycle 
492,AURGRES03DEL03,28,5.0,motorcycle 
493,JAPRES06DEL03,29,4.5,motorcycle 
494,CHENRES05DEL02,28,4.8,electric_scooter 
495,MYSRES15DEL02,39,4.8,motorcycle 
496,VADRES16DEL01,39,4.8,scooter 
497,INDORES05DEL02,26,4.8,scooter 
498,INDORES02DEL03,33,4.8,electric_scooter 
499,ALHRES17DEL03,37,4.9,scooter 
500,BANGRES08DEL03,29,4.6,scooter 
501,COIMBRES20DEL03,24,4.6,motorcycle 
502,AURGRES03DEL02,36,5.0,motorcycle 
503,VADRES14DEL03,22,4.7,motorcycle 
504,HYDRES04DEL03,21,4.6,motorcycle 
505,SURRES07DEL02,29,5.0,scooter 
506,BANGRES17DEL02,33,4.7,scooter 
507,RANCHIRES04DEL02,27,4.1,motorcycle 
508,HYDRES14DEL02,29,4.6,motorcycle 
509,SURRES04DEL01,30,4.2,motorcycle 
510,VADRES18DEL02,22,4.8,motorcycle 
511,COIMBRES13DEL01,20,4.9,scooter 
512,BANGRES20DEL01,31,4.4,motorcycle 
513,SURRES19DEL03,36,4.6,scooter 
514,JAPRES17DEL02,39,4.9,motorcycle 
515,HYDRES07DEL01,32,4.7,motorcycle 
516,RANCHIRES14DEL01,23,4.2,motorcycle 
517,SURRES13DEL02,30,3.8,scooter 
518,INDORES15DEL02,26,4.7,scooter 
519,MYSRES07DEL01,29,4.6,motorcycle 
520,SURRES11DEL01,21,4.9,motorcycle 
521,COIMBRES12DEL03,23,4.6,scooter 
522,SURRES03DEL02,22,4.9,motorcycle 
523,SURRES14DEL03,39,4.5,motorcycle 
524,CHENRES02DEL02,32,4.1,scooter 
525,JAPRES13DEL01,25,4.7,motorcycle 
526,SURRES14DEL01,30,5.0,motorcycle 
527,BANGRES12DEL02,25,4.8,scooter 
528,COIMBRES09DEL03,26,4.7,scooter 
529,COIMBRES02DEL01,30,4.6,motorcycle 
530,AGRRES07DEL02,31,4.3,motorcycle 
531,INDORES08DEL02,33,4.8,motorcycle 
532,MUMRES19DEL03,20,5.0,scooter 
533,MYSRES11DEL02,36,4.3,scooter 
534,PUNERES04DEL03,20,4.9,motorcycle 
535,MYSRES07DEL03,29,4.6,scooter 
536,AGRRES02DEL03,38,4.1,scooter 
537,VADRES06DEL03,37,4.7,motorcycle 
538,JAPRES05DEL01,28,5.0,scooter 
539,BANGRES15DEL02,39,3.5,motorcycle 
540,HYDRES03DEL02,31,4.0,scooter 
541,HYDRES15DEL02,30,4.9,motorcycle 
542,KOLRES03DEL03,27,4.9,motorcycle 
543,PUNERES11DEL02,30,4.9,motorcycle 
544,BANGRES08DEL02,29,4.5,scooter 
545,AGRRES11DEL02,35,4.5,motorcycle 
546,INDORES01DEL02,34,4.9,motorcycle 
547,COIMBRES17DEL02,37,4.8,scooter 
548,JAPRES08DEL03,34,4.9,motorcycle 
