restaurant_id,restaurant_name,area,cuisines,rating,cost_for_two,online_order
63,Cake of the Day,Banashankari,bakery,3.7,150.0,0
64,Kabab Magic,Banashankari,"north indian, kebab, chinese, fast food",4.1,400.0,1
65,Namma Brahmin's Idli,Banashankari,south indian,3.6,100.0,1
66,Gustoes Beer House,Banashankari,"continental, italian, mexican, north indian, chinese, steak",4.1,1200.0,0
67,Sugar Rush,Banashankari,"bakery, desserts",3.8,300.0,0
68,Burger King,Banashankari,"burger, fast food, beverages",3.2,600.0,1
69,The Good Bowl,Banashankari,"italian, north indian, biryani",3.6,500.0,1
70,The Biryani Cafe,Banashankari,"biryani, chinese, kebab",4.1,300.0,0
71,Spicy Tandoor,Banashankari,north indian,,150.0,0
72,LSD Cafe,Banashankari,"chinese, continental, italian, north indian",2.9,700.0,0
73,Rolls On Wheels,Banashankari,"fast food, rolls, momos",3.6,300.0,0
74,Om Sri Vinayaka Chats,Banashankari,"street food, fast food",,500.0,0
75,Sri Guru Kottureshwara Davangere Benne Dosa,Banashankari,south indian,4.1,150.0,1
76,Devanna Dum Biriyani Centre,Banashankari,"biryani, south indian",3.6,300.0,1
77,Kolbeh,Banashankari,fast food,3.7,500.0,0
78,Upahar Sagar,Banashankari,"south indian, chinese, north indian",3.8,350.0,0
79,Kadalu Sea Food Restaurant,Banashankari,"seafood, north indian, chinese, andhra, biryani, kebab",3.8,500.0,1
80,Frozen Bottle,Banashankari,"beverages, desserts, ice cream",4.2,400.0,1
81,Parimala Sweets,Banashankari,"mithai, street food",3.5,200.0,0
82,Vaishali Deluxe,Banashankari,"north indian, chinese",3.8,700.0,0
83,Chill Out,Banashankari,"south indian, chinese",,100.0,0
84,The Big O Bakes,Banashankari,"bakery, desserts",4.0,300.0,0
85,Meghana Foods,Banashankari,"biryani, north indian, chinese",4.4,600.0,1
86,Krishna Sagar,Banashankari,north indian,3.5,200.0,0
87,Dessert Rose,Banashankari,desserts,3.5,500.0,0
88,Chickpet Donne Biryani House,Banashankari,biryani,3.7,250.0,0
89,Me And My Cake,Banashankari,"bakery, desserts",,500.0,0
90,Sunsadm,Banashankari,south indian,,400.0,0
91,Annapooraneshwari Mess,Banashankari,south indian,,200.0,0
92,Thanco's Natural Ice Creams,Banashankari,ice cream,3.2,300.0,0
93,Nandhini Deluxe,Banashankari,north indian,2.6,600.0,0
94,Vi Ra's Bar and Restaurant,Banashankari,"south indian, north indian, chinese",3.3,800.0,0
95,Kaggis,Banashankari,"fast food, bakery",3.8,250.0,0
96,Ayda Persian Kitchen,Banashankari,"north indian, iranian",3.7,950.0,0
97,Chatar Patar,Banashankari,"fast food, street food",3.7,300.0,0
98,Polar Bear,Banashankari,"ice cream, desserts, beverages, sandwich",3.8,400.0,1
99,Kidambi's Kitchen,Banashankari,south indian,3.5,300.0,0
100,Mane Thindi,Banashankari,south indian,3.7,200.0,0
101,Kotian Karavali Restaurant,Banashankari,"south indian, biryani",3.5,300.0,0
102,Floured-Baked With Love,Banashankari,bakery,3.8,400.0,0
103,Cakes & Slices,Banashankari,"bakery, desserts",3.5,300.0,0
104,Spice 9,Banashankari,"biryani, north indian, chinese, fast food",3.4,300.0,0
105,Coffee Shopee,Banashankari,beverages,,250.0,0
106,Naveen Kabab & Biriyani Mane,Banashankari,biryani,3.2,300.0,0
107,Katriguppe Donne Biryani,Banashankari,north indian,3.2,300.0,0
108,Hari Super Sandwich,Banashankari,"sandwich, pizza, beverages",,200.0,0
109,Atithi Point Ande Ka Funda,Banashankari,north indian,3.1,150.0,0
110,Just Bake,Banashankari,"bakery, desserts",3.4,400.0,0
111,Dharwad Line Bazaar Mishra Pedha,Banashankari,mithai,,150.0,0
112,Cake Bite,Banashankari,bakery,,300.0,0
113,Aarush's Food Plaza,Banashankari,"north indian, street food",,200.0,0
114,Wood Stove,Banashankari,south indian,,150.0,0
115,Kulfi & More,Banashankari,"ice cream, desserts, juices",,150.0,0
116,Kannadigas Karavali,Banashankari,"mangalorean, south indian, north indian",,250.0,0
117,K27 - The Pub,Banashankari,"chinese, north indian",3.1,1000.0,0
118,Bengaluru Coffee House,Banashankari,"south indian, north indian, chinese, street food",4.1,300.0,1
119,New Mangalore Lunch Home,Banashankari,"mangalorean, south indian, north indian",3.3,200.0,0
120,Coffee Bytes,Banashankari,"fast food, south indian",3.1,100.0,0
121,Parjanya Chat Zone,Banashankari,"street food, fast food",3.3,200.0,0
122,Kwality Wall's Swirl's Happiness Station,Banashankari,"ice cream, desserts",2.9,200.0,0
123,Soms Kitchen & Bakes,Banashankari,"south indian, north indian, continental",,400.0,0
124,Banashankari Nati Style,Banashankari,"biryani, chinese, south indian, north indian",,350.0,0
125,Ruchi Maayaka,Banashankari,south indian,3.3,100.0,0
126,Mohitesh Hut Roll,Banashankari,"rolls, north indian",,150.0,0
127,Sri Basaveshwar Jolada Rotti Oota,Banashankari,south indian,,150.0,0
128,Roll Magic Fast Food,Banashankari,"biryani, rolls, chinese",,200.0,0
129,Foodlieious Multi Cuisine,Banashankari,north indian,,100.0,0
130,Thanishka Nati And Karavali Style,Banashankari,"biryani, fast food",,400.0,0
131,Swathi Cool Point,Banashankari,"beverages, juices",,200.0,0
132,Kaumudis Juoice,Banashankari,"beverages, fast food, juices",,150.0,0
133,Amma - Manae,Banashankari,south indian,,400.0,0
134,Sri Sai Tiffannies,Banashankari,"south indian, chinese",,150.0,0
135,Hotel Andhra Speices,Banashankari,andhra,,250.0,0
136,Sri Murari Family Restaurant,Banashankari,biryani,,250.0,0
137,Aramane Donne Biriyani,Banashankari,"south indian, biryani",,150.0,0
138,Darkolates,Banashankari,desserts,,200.0,0
139,Swaada Healthy Kitchen,Banashankari,"healthy food, juices, sandwich",,350.0,0
140,Gawdaru Mane Beriyani,Banashankari,"south indian, biryani",,300.0,0
141,Melting Melodies,Banashankari,"pizza, fast food",,100.0,0
142,New Indraprasta,Banashankari,"south indian, beverages",,150.0,0
143,Anna Kuteera,Banashankari,"south indian, north indian, chinese",4.0,450.0,1
144,Darbar,Banashankari,"north indian, chinese",3.0,800.0,0
145,Vijayalakshmi,Banashankari,south indian,3.9,200.0,1
146,Sri Udupi Food Hub,Banashankari,"south indian, north indian, chinese, beverages",4.1,500.0,1
147,Udupi Upahar,Banashankari,"south indian, chinese, north indian, juices",3.8,300.0,1
148,House Of Kebabs,Banashankari,"north indian, kebab, biryani, chinese",3.8,650.0,1
149,Roll N Rock,Banashankari,"chinese, north indian, mughlai, rolls",3.8,400.0,1
150,BOX8- Desi Meals,Banashankari,"north indian, mughlai, fast food",4.1,500.0,1
151,KFC,Banashankari,"burger, fast food",3.8,450.0,1
152,Bitez,Banashankari,fast food,,100.0,0
153,Roll Over,Banashankari,"desserts, ice cream, beverages, fast food, sandwich",4.1,500.0,1
154,Imperial Restaurant,Banashankari,"north indian, chinese, biryani, beverages",3.7,750.0,1
155,Lassi Shop,Banashankari,"beverages, juices, ice cream",3.9,150.0,1
156,The Fortuna,Banashankari,"north indian, chinese",3.0,250.0,1
157,Wahab,Banashankari,"north indian, mughlai, chinese",3.7,350.0,1
158,Al Diwan Biryanis And More,Banashankari,biryani,3.3,300.0,1
159,New Gowda's Fried Chicken,Banashankari,biryani,3.3,300.0,1
160,Canton,Banashankari,"chinese, seafood, biryani",3.6,800.0,1
161,Diabetics Dezire Sugarless Sweets and Bakes,Banashankari,"desserts, mithai",3.3,300.0,1
162,The Blue Wagon - Kitchen,Banashankari,"cafe, beverages",4.6,400.0,1
163,HOT COFFEE,Banashankari,"south indian, chinese",4.1,150.0,1
164,Patio 805,Banashankari,"thai, vietnamese, asian, chinese",4.1,1200.0,1
165,Lassi Corner,Banashankari,"beverages, ice cream",3.7,150.0,1
166,Sagar Deluxe,Banashankari,"south indian, north indian, chinese, juices",3.2,300.0,1
167,Kanti Sweets,Banashankari,"mithai, street food",4.0,400.0,1
168,Vegetalia,Banashankari,"italian, pizza",3.7,400.0,1
169,Aramane Donne Biryani,Banashankari,biryani,3.5,200.0,1
170,Ande Ka Funda,Banashankari,"north indian, fast food, rolls",3.8,250.0,1
171,Cake Ghar,Banashankari,bakery,3.8,400.0,1
172,Energy Addaa,Banashankari,"salad, healthy food, sandwich, juices, burger, desserts, pizza",4.2,500.0,1
173,Bhattara Bhojana,Banashankari,south indian,3.6,150.0,1
174,Tandoori Knight,Banashankari,"north indian, chinese, biryani, kebab",3.0,450.0,1
175,Dev Sagar - Food Street,Banashankari,street food,4.1,200.0,1
176,Mitraa Da Pizza,Banashankari,"fast food, pizza",3.8,250.0,1
177,Paradise Premium,Banashankari,"biryani, andhra, hyderabadi, north indian",3.1,700.0,1
178,Grazers,Banashankari,"cafe, burger, continental, italian, desserts",3.9,650.0,1
179,Shakes Theory,Banashankari,"beverages, sandwich",4.5,300.0,1
180,@Italy,Banashankari,italian,4.1,700.0,1
181,Chilli Flakes,Banashankari,"fast food, italian, beverages",3.6,500.0,1
182,Calcutta Cafe,Banashankari,"bengali, chinese, sandwich",3.5,350.0,1
183,Old Mumbai Ice Cream,Banashankari,ice cream,3.9,150.0,1
184,Donne Biriyani House,Banashankari,"south indian, north indian, chinese, biryani",3.9,400.0,1
185,By 2 Coffee,Banashankari,south indian,3.9,100.0,1
186,Kedia's Fun Food,Banashankari,"north indian, street food, juices",4.3,200.0,1
187,Davangere Butter Dosa Hotel,Banashankari,south indian,3.8,150.0,1
188,Just Shawarma,Banashankari,arabian,3.9,300.0,1
189,Mini Punjabi Dhaba,Banashankari,north indian,4.2,350.0,1
190,Mulabagilu Dosa,Banashankari,south indian,3.6,100.0,1
191,Gokul Veg,Banashankari,"north indian, chinese, beverages",3.8,750.0,1
192,Olive - Era,Banashankari,"bbq, arabian, rolls, chinese, north indian, juices, kebab, desserts",3.3,550.0,1
193,Udupi Ruchi,Banashankari,"south indian, north indian, chinese, street food",3.9,200.0,1
194,Madhappa Hindu Military Hotel,Banashankari,south indian,3.4,300.0,1
195,Gama Gama,Banashankari,south indian,3.9,200.0,1
196,Pizza Hut,Banashankari,"pizza, fast food",3.8,750.0,1
197,Mangalore Pearl,Banashankari,"mangalorean, seafood, chinese, biryani",3.8,650.0,1
198,Asha Sweets Centre,Banashankari,fast food,3.6,250.0,1
199,Twiststick House,Banashankari,"continental, fast food, street food, momos",4.1,500.0,1
200,Cool Corner,Banashankari,"street food, fast food",4.2,250.0,1
201,Pizza Mane,Banashankari,"pizza, sandwich, burger, fast food",3.5,150.0,1
202,Dal Tadkaa,Banashankari,north indian,2.5,500.0,1
203,Chutney Chang,Banashankari,"north indian, chinese, bbq",4.1,1500.0,1
204,Mystique Palate,Banashankari,"chinese, fast food",4.1,300.0,1
205,Thamboola,Banashankari,"north indian, chinese, continental",3.9,800.0,1
206,Castle Rock,Banashankari,"north indian, chinese",3.6,700.0,1
207,Vietnamese Kitchen,Banashankari,vietnamese,3.6,700.0,1
208,C Corner,Banashankari,"fast food, street food",3.2,200.0,1
209,Paratha Merchant,Banashankari,north indian,3.1,300.0,1
210,North Rasoe,Banashankari,"north indian, chinese, biryani, kebab",3.1,500.0,1
211,Inchara Restaurant,Banashankari,"north indian, chinese",,300.0,1
212,Toscano,Banashankari,"italian, salad",4.3,1300.0,1
213,Lord Of The Kitchen,Banashankari,"north indian, chinese",3.9,350.0,1
214,Stoned Monkey,Banashankari,"desserts, ice cream",4.3,500.0,1
215,Central Jail Restaurant,Banashankari,"andhra, seafood, north indian, chinese",3.8,700.0,1
216,Bella,Banashankari,"mangalorean, seafood, south indian",3.9,1000.0,1
217,Vennela Andhra Meals,Banashankari,andhra,3.0,400.0,1
218,New Prashanth Hotel,Banashankari,"south indian, biryani, chinese, north indian",3.6,750.0,1
219,The Grillo,Banashankari,"south indian, arabian, chinese, north indian, seafood, mangalorean",2.8,500.0,1
220,Re Malnad Nati Style Hotel,Banashankari,south indian,3.6,400.0,1
221,Karma Kaapi,Banashankari,"beverages, tea",4.4,250.0,1
222,Tiwari's,Banashankari,"north indian, street food",3.8,200.0,1
223,Pizza Stop,Banashankari,"pizza, italian",3.8,600.0,1
224,Biggies Burger 'n' More,Banashankari,"cafe, burger, beverages",3.6,650.0,1
225,Kollapuri's,Banashankari,"south indian, mangalorean",3.9,450.0,0
226,Sugar Stars Co,Banashankari,"bakery, desserts",,300.0,0
227,Bombay Kulfis,Banashankari,ice cream,,200.0,0
228,Kadamba Classic,Banashankari,south indian,3.6,300.0,0
229,RS Shiv Sagar,Banashankari,"north indian, chinese, south indian, fast food, juices",3.7,450.0,0
230,Kholi Mane,Banashankari,"andhra, south indian, biryani, north indian",3.6,450.0,0
231,Harshi Super Sandwich,Banashankari,"fast food, street food",3.8,150.0,0
232,Cake Yard,Banashankari,desserts,3.4,250.0,0
233,Sri Udupi Veg,Banashankari,south indian,3.3,250.0,0
234,Cake Art,Banashankari,bakery,3.5,400.0,0
235,Aahar Cafe,Banashankari,south indian,,100.0,0
236,Akash Gowdru Biryani Center,Banashankari,"north indian, chinese",,300.0,0
237,New Sri Udupi Restaurant,Banashankari,"north indian, south indian, chinese, beverages, fast food",,200.0,0
238,Potato House,Banashankari,street food,3.4,200.0,1
239,Hotel Biriyani Counter,Banashankari,"north indian, chinese, biryani",,350.0,0
240,Matru Sagar,Banashankari,"south indian, north indian",3.7,300.0,1
241,Ugadi,Banashankari,"north indian, chinese, biryani, andhra, mangalorean",2.9,700.0,1
242,Sri Krishna Sweets,Banashankari,"mithai, desserts",3.7,250.0,1
243,In Time Cane Juice,Banashankari,"juices, beverages",3.5,100.0,1
244,Subway,Banashankari,"salad, fast food",3.7,600.0,1
245,Daal Roti,Banashankari,"north indian, chinese",2.9,250.0,1
246,The Lassi Park,Banashankari,"juices, desserts",4.1,200.0,1
247,Cafe Coffee Day,Banashankari,"cafe, fast food",3.2,900.0,1
248,A2B - Adyar Ananda Bhavan,Banashankari,"south indian, north indian, chinese, street food",3.8,400.0,1
249,Srikrishna Bhavan,Banashankari,"south indian, north indian, chinese",3.8,300.0,1
250,Green Gardenia,Banashankari,"north indian, chinese",3.8,700.0,1
251,J Spice,Banashankari,"north indian, chinese",3.8,750.0,1
252,Karavali Family Restaurant,Banashankari,"seafood, biryani, south indian, north indian, chinese",3.5,500.0,1
253,Karavali Lunch Home,Banashankari,"south indian, mangalorean",3.7,350.0,1
254,Hatti Kaapi,Banashankari,"south indian, beverages",4.0,200.0,1
255,Kolkata Kathi Roll's,Banashankari,"fast food, rolls",3.6,250.0,1
256,Upahara Darshini,Banashankari,"north indian, chinese, south indian, fast food",3.9,600.0,1
257,The Chaat Shop,Banashankari,fast food,2.5,200.0,1
258,Anda Ka Funda,Banashankari,"north indian, chinese, rolls",3.4,250.0,1
259,Shri Vinayaka Ice N Juice,Banashankari,"beverages, fast food",3.2,150.0,1
260,Ibaco,Banashankari,desserts,3.9,300.0,1
261,Jalaram Sweets,Banashankari,"desserts, mithai",3.8,250.0,1
262,Samskruti - Sanman Gardenia,Banashankari,"north indian, chinese, south indian",4.1,550.0,1
263,Bendakaluru Bytes,Banashankari,fast food,3.2,300.0,1
264,Cocoa Bakes,Banashankari,"bakery, desserts",3.6,350.0,1
265,Chumma Delicious,Banashankari,"south indian, fast food",3.7,200.0,1
266,New Prashanth Hotel,Banashankari,"biryani, north indian, seafood, andhra",3.9,650.0,1
267,SSV Upahar,Banashankari,"south indian, chinese",,300.0,1
268,Dwaraka Grand,Banashankari,"south indian, chinese, street food, juices",3.9,500.0,1
269,Gufha - The President Hotel,Banashankari,"north indian, afghani, mughlai",4.1,1200.0,1
270,Tanna's Kitchen,Banashankari,"italian, chinese, street food",3.1,250.0,1
271,Shree Mandarathi Grand,Banashankari,"south indian, north indian",3.7,400.0,1
272,Mojo Pizza - 2X Toppings,Banashankari,pizza,4.2,600.0,1
273,Iceberg Icecreams,Banashankari,"desserts, ice cream",4.0,250.0,1
274,South Kitchen,Banashankari,south indian,4.3,100.0,1
275,Chung Wah,Banashankari,"chinese, thai, momos",3.7,850.0,1
276,Shanthi Sagar,Banashankari,"south indian, north indian, chinese",3.1,400.0,1
277,Millet Mama,Banashankari,"south indian, healthy food",3.9,200.0,1
278,Bangarpet Chat Express,Banashankari,"street food, fast food",3.3,100.0,1
279,South Cool Point,Banashankari,beverages,,100.0,1
280,Prems Graama Bhojanam,Banashankari,south indian,4.3,400.0,1
281,Java City,Banashankari,"cafe, american, pizza",2.6,450.0,1
282,Kamat Bugle Rock,Banashankari,"south indian, fast food",3.9,300.0,1
283,Puliyogare Point,Banashankari,south indian,4.2,100.0,1
284,Bangalore Agarwal Bhavan,Banashankari,"street food, north indian, south indian",3.9,400.0,1
285,Rustic Stove,Banashankari,"north indian, south indian, biryani, beverages",3.8,900.0,1
286,Udupi Ruchi Grand,Banashankari,"south indian, north indian, chinese, street food",4.2,200.0,1
287,De Thaali,Banashankari,"north indian, chinese, rolls",3.9,550.0,1
288,Just Thindi,Banashankari,south indian,3.6,200.0,1
289,Matru Sagar,Banashankari,"south indian, north indian, chinese",3.6,250.0,1
290,Vasanth Vihar - Since 1965,Banashankari,"south indian, street food",3.6,150.0,1
291,Sea Spice by 7 Star,Banashankari,"seafood, biryani, beverages, south indian, north indian, kebab",4.0,1200.0,1
292,Desi Dawat,Banashankari,"north indian, fast food",3.7,400.0,1
293,Cafe Aira,Banashankari,"cafe, continental, beverages, desserts",4.1,500.0,1
294,Donne Biriyani combos,Banashankari,biryani,,400.0,1
295,Mast Punjabi,Banashankari,"north indian, chinese, rolls, biryani, kebab",2.6,400.0,1
296,South Grand,Banashankari,"south indian, north indian, chinese, beverages",3.4,400.0,1
297,The Pizzeria,Banashankari,"pizza, italian, salad",2.8,800.0,1
298,Cafe Zone,Banashankari,"fast food, chinese, rolls",3.9,300.0,1
299,Ruchis Point,Banashankari,"fast food, chinese",3.8,200.0,1
300,Firangi Bake,Banashankari,"mexican, italian",4.0,600.0,1
301,The Royal Corner - Pai Viceroy,Banashankari,"north indian, chinese",4.2,900.0,1
302,Hara Fine Dine,Banashankari,"north indian, chinese",4.0,800.0,1
303,Chocoberry,Banashankari,"ice cream, desserts, beverages",3.5,400.0,1
304,Dakshin Grand,Banashankari,"south indian, north indian, chinese, street food",3.0,300.0,1
305,Sandwichwallas,Banashankari,fast food,3.7,200.0,1
306,Chai Mane,Banashankari,"juices, fast food",3.6,150.0,1
307,SLV Upachar,Banashankari,"south indian, chinese, street food",3.1,250.0,1
308,Waffle-A-Go Go,Banashankari,"fast food, desserts, ice cream",3.9,400.0,1
309,Cross Road Cafe,Banashankari,"cafe, fast food, chinese",3.9,300.0,1
310,Anand Donne Biriyani,Banashankari,biryani,3.6,200.0,1
311,Seven Star,Banashankari,"north indian, chinese",3.4,250.0,1
312,Stop 'N' Joy,Banashankari,fast food,3.8,150.0,1
313,Sri Yaksha Shiv Sagar,Banashankari,"north indian, chinese",3.6,600.0,1
314,Fudge,Banashankari,"desserts, momos",3.8,200.0,1
315,Just Bunny,Banashankari,fast food,3.5,200.0,1
316,Bakers Town,Banashankari,"cafe, continental, fast food",3.8,650.0,1
317,Shree Mahalakshmi Sweets,Banashankari,"mithai, street food",3.2,100.0,1
318,Kaapi Kendra,Banashankari,south indian,3.7,100.0,1
319,Ivy,Banashankari,"north indian, chinese, fast food",3.8,600.0,1
320,The Airos,Banashankari,"cafe, italian, pizza",4.1,650.0,1
321,Chai Kraft,Banashankari,"beverages, tea",4.1,100.0,1
322,South Point Pub,Banashankari,"north indian, seafood, chinese",3.4,800.0,1
323,The Trundle,Banashankari,"chinese, thai, continental, north indian",3.7,700.0,1
324,The Krishna Grand Xpress,Banashankari,"south indian, fast food",4.0,350.0,1
325,Sri Krishna Darshini,Banashankari,"south indian, north indian, chinese",3.1,200.0,1
326,Shringar Sweets & Snacks,Banashankari,"mithai, south indian, street food, fast food",3.5,200.0,1
327,Udupi Grand,Banashankari,"south indian, north indian, chinese",3.8,300.0,1
328,Ganesh Grand,Banashankari,"south indian, north indian, desserts",3.7,300.0,1
329,Shreyas Upahar & Burger Point,Banashankari,"south indian, burger",3.0,200.0,1
330,Little Cafe,Banashankari,"cafe, beverages",3.7,600.0,1
331,Mumbai Badam Milk & Lassi Center,Banashankari,"beverages, desserts",3.6,100.0,1
332,Sri Krishna Sagar,Banashankari,"north indian, chinese",3.2,400.0,1
333,Mylari Biryani Family Restaurant,Banashankari,"biryani, fast food",3.7,400.0,1
334,1980s Games Cafe,Banashankari,"cafe, fast food",3.4,400.0,1
335,Kadala Tarangaa,Banashankari,"mangalorean, seafood, north indian",3.6,600.0,1
336,Namma Biryani,Banashankari,"biryani, chinese, north indian",3.6,250.0,1
337,Nandhanu's Rasoi,Banashankari,"chinese, north indian",3.0,400.0,1
338,Hotel Pork Paradise,Banashankari,south indian,3.7,300.0,1
339,As On Fire,Banashankari,"pizza, fast food, bbq",3.5,400.0,1
340,J K Fish Land,Banashankari,"seafood, mangalorean",3.6,300.0,1
341,Curry Leaves,Banashankari,"andhra, north indian, chinese",4.1,800.0,1
342,Lassi Shop,Banashankari,"beverages, ice cream, fast food",3.5,300.0,1
343,Magic Meals,Banashankari,"fast food, desserts, beverages",3.7,400.0,1
344,Desi Cream Junction,Banashankari,"chinese, north indian, pizza, italian",3.7,650.0,1
345,Drunken Monkey,Banashankari,"beverages, fast food",3.8,400.0,1
346,Ruchi's Corner,Banashankari,fast food,2.7,200.0,1
347,Tandoori Bytes,Banashankari,north indian,3.6,700.0,1
348,Bangalore Donne Biriyani,Banashankari,"south indian, biryani",3.2,300.0,1
349,SGS Non Veg - Gundu Pulav,Banashankari,"biryani, fast food",3.8,400.0,1
350,Keventers,Banashankari,"desserts, beverages, ice cream",3.7,400.0,1
351,Sree Sagar,Banashankari,south indian,,200.0,1
352,Navi Food Point,Banashankari,fast food,3.6,200.0,1
353,Shawarma Inc,Banashankari,"rolls, lebanese",3.1,250.0,1
354,The Cafe Nuts and Bolts,Banashankari,"cafe, fast food, chinese",3.0,500.0,1
355,AM WOW,Banashankari,beverages,3.4,100.0,1
356,Lalbagh Grand,Banashankari,"south indian, north indian, chinese",3.0,250.0,1
357,Funjabi Curries,Banashankari,north indian,2.9,500.0,1
358,Eat Repeat,Banashankari,south indian,3.9,150.0,1
359,Salut,Banashankari,"continental, finger food, seafood, pizza",4.1,1200.0,1
360,Nammura Donne Biriyani,Banashankari,"biryani, fast food",3.5,400.0,1
361,Lassi Stop,Banashankari,"beverages, fast food, juices",3.4,150.0,1
362,Dakshin Kitchen,Banashankari,south indian,3.6,100.0,1
363,Sri Sai Cafe,Banashankari,south indian,3.5,200.0,1
364,Sri Sai 99 Variety Dosa,Banashankari,south indian,3.8,300.0,1
365,Utsav Restaurant,Banashankari,"north indian, chinese",3.8,300.0,1
366,Crunch and Munch,Banashankari,"chinese, street food, ice cream",3.7,300.0,1
367,Food Geek,Banashankari,"sandwich, fast food, rolls",3.8,350.0,1
