order_id,order_type,restaurant_latitude,restaurant_longitude
290C,Drinks ,12.337928,76.617889
7ECE,Buffet ,23.351489,85.324253
1365,Meal ,22.728163,75.884212
33A4,Drinks ,13.026286,80.275235
8F3C,Snack ,26.766536,75.837333
2FE1,Snack ,21.149834,72.778666
4B5B,Meal ,12.3085,76.665808
7405,Buffet ,21.149669,72.772629
6245,Buffet ,17.411028,78.329645
D02B,Meal ,26.482581,80.315628
1F0E,Drinks ,12.284747,76.625861
7085,Meal ,26.911378,75.789034
57FA,Meal ,13.02978,80.208812
57FC,Meal ,12.323194,76.630583
7A1F,Snack ,18.563934,73.915367
CEAC,Buffet ,22.569367,88.433187
A0A5,Snack ,12.949934,77.699386
892D,Snack ,21.175975,72.795503
6118,Snack ,22.725835,75.887648
46FD,Meal ,18.536562,73.896485
5134,Snack ,23.416792,85.316842
D418,Meal ,30.89286,75.822199
256C,Meal ,12.310972,76.659264
6055,Snack ,26.913987,75.752891
7BFB,Snack ,11.001753,76.986241
7220,Drinks ,22.310237,73.158921
1568,Snack ,12.933284,77.615428
41EA,Buffet ,12.297954,76.665169
1C60,Buffet ,12.352058,76.60665
7944,Drinks ,13.086438,80.220672
77EE,Drinks ,17.429585,78.392621
2192,Buffet ,12.978453,77.643685
48C7,Drinks ,13.044694,80.26147
78BF,Meal ,12.98041,77.640489
7A5A,Snack ,0.0,0.0
4321,Drinks ,26.846156,75.8023
E00D,Meal ,25.449659,81.839744
1E+86,Meal ,26.911927,75.797282
CFF0,Meal ,10.020683,76.310631
1E2D,Snack ,12.935662,77.61413
D072,Snack ,15.585658,73.743606
9A57,Snack ,0.0,0.0
427B,Meal ,17.429585,78.392621
5.2E+03,Buffet ,26.766536,75.837333
9395,Snack ,26.846156,75.8023
B5D2,Meal ,26.913987,75.752891
6C4D,Buffet ,22.310526,73.170937
D1C8,Drinks ,0.0,0.0
98CA,Buffet ,12.972532,77.608179
1B5B,Snack ,0.0,0.0
644B,Snack ,19.103249,72.846749
7A2D,Buffet ,17.426228,78.407495
E13F,Buffet ,26.471617,80.313564
C278,Drinks ,19.866969,75.318894
5912,Drinks ,18.593481,73.785901
AB33,Drinks ,12.906229,77.596791
DD96,Meal ,26.482581,80.315628
7646,Snack ,12.933298,77.614293
5EF5,Drinks ,22.751857,75.866699
7EF7,Buffet ,11.010375,76.95295
1136,Drinks ,17.483216,78.552111
D032,Buffet ,27.160934,78.044095
199D,Buffet ,11.006686,76.951736
871C,Drinks ,0.0,0.0
CF18,Buffet ,25.457687,81.835585
1DAD,Snack ,19.12663,72.829976
C918,Snack ,19.875016,75.322405
33C1,Meal ,19.178321,72.834715
1B50,Buffet ,18.536718,73.830327
27FE,Buffet ,13.026279,80.174568
1536,Drinks ,17.455894,78.375467
A152,Snack ,21.149834,72.778666
9C9A,Meal ,11.022477,76.995667
3052,Snack ,22.310237,73.158921
1045,Buffet ,11.010375,76.95295
2391,Buffet ,22.745049,75.892471
7DDD,Drinks ,22.74806,75.8934
279F,Buffet ,19.178321,72.834715
E76,Snack ,13.054347,80.257221
AEFA,Snack ,12.979096,77.640625
DAD6,Buffet ,27.163303,78.057044
C237,Meal ,26.482419,80.320939
4EFC,Drinks ,22.310237,73.158921
6E+33,Snack ,22.307898,73.167788
D92F,Buffet ,27.160832,78.011608
D902,Drinks ,10.027014,76.308053
D91A,Snack ,30.890184,75.829615
4F0C,Meal ,11.003681,76.975525
8456,Snack ,12.986047,80.218114
3329,Buffet ,11.006686,76.951736
1AA8,Snack ,21.15276,72.778059
144D,Drinks ,22.753839,75.897429
D27B,Meal ,19.876106,75.340775
ADD6,Buffet ,13.005801,80.250744
7C60,Buffet ,12.933298,77.614293
4FB8,Snack ,0.0,0.0
1406,Drinks ,0.0,0.0
C63E,Meal ,30.328174,78.049117
7B03,Buffet ,12.978453,77.643685
4314,Buffet ,13.058616,80.264151
9E5A,Meal ,26.911927,75.797282
C044,Meal ,-27.165108,78.015053
D7D3,Drinks ,0.0,0.0
70B1,Buffet ,22.307898,73.167788
5.9E+06,Buffet ,21.170096,72.789122
DEAC,Snack ,30.905562,75.832841
A053,Snack ,26.849596,75.800512
4DB,Meal ,-18.55144,-73.804855
7031,Snack ,11.003681,76.975525
D3BC,Drinks ,27.163303,78.057044
8DE9,Buffet ,21.157729,72.768726
7C84,Meal ,26.902328,75.794257
96D2,Snack ,26.90519,75.810753
77B5,Buffet ,17.428294,78.404423
75DC,Drinks ,12.316967,76.603067
BE78,Snack ,12.975377,77.696664
35A2,Drinks ,13.026286,80.275235
416F,Snack ,12.323978,76.627961
A4F5,Snack ,11.025083,77.015393
A4EB,Drinks ,12.933284,77.615428
D4DA,Buffet ,26.492106,80.327797
B59B,Drinks ,19.003517,72.82765
4F73,Drinks ,10.994136,76.963303
6A7,Drinks ,23.353783,85.326967
ADAE,Snack ,17.440827,78.393391
B785,Snack ,19.12663,72.829976
8366,Buffet ,12.297954,76.665169
BFF2,Drinks ,0.0,0.0
8F58,Buffet ,22.308096,73.167753
247C,Drinks ,12.323194,76.630583
43B9,Meal ,17.450851,78.379347
9E8A,Snack ,18.543626,73.905101
47AF,Buffet ,0.0,0.0
1B40,Snack ,12.304569,76.643622
B4FB,Meal ,12.299524,76.64262
B50,Meal ,26.849596,75.800512
3376,Snack ,19.003517,72.82765
BECB,Drinks ,21.160522,72.771477
4357,Drinks ,22.728163,75.884212
1486,Meal ,22.31279,73.170283
5B70,Snack ,12.98041,77.640489
490E,Meal ,0.0,0.0
3E+21,Buffet ,19.131141,72.813074
26D4,Buffet ,17.433809,78.386744
B20F,Drinks ,17.428294,78.404423
7ADA,Drinks ,26.766536,75.837333
C4B3,Drinks ,19.879631,75.323403
2A01,Drinks ,13.026286,80.275235
6357,Buffet ,19.091458,72.827808
73C,Meal ,0.0,0.0
9C2A,Meal ,26.849596,75.800512
31BD,Buffet ,12.934179,77.615797
970A,Buffet ,18.520016,73.830547
2675,Drinks ,12.986047,80.218114
A200,Drinks ,21.170798,72.790489
9BF9,Drinks ,18.563934,73.915367
555D,Snack ,22.760072,75.892574
5BD9,Buffet ,19.12663,72.829976
B2E9,Meal ,22.761226,75.887522
8633,Buffet ,19.178321,72.834715
4C34,Drinks ,21.149834,72.778666
A998,Snack ,26.88842,75.800689
5EFD,Snack ,12.297954,76.665169
8D83,Buffet ,17.458998,78.500366
8A06,Buffet ,23.354422,85.3329
5A2D,Snack ,13.044694,80.26147
4C1,Drinks ,12.935662,77.61413
83EA,Buffet ,23.416792,85.316842
2185,Snack ,18.520016,73.830547
1.2E+08,Meal ,22.722634,75.886959
5956,Meal ,22.745536,75.893106
7814,Meal ,0.0,0.0
CEE,Drinks ,12.972161,77.596014
5A07,Drinks ,12.304569,76.643622
340F,Buffet ,21.175104,72.804342
8094,Drinks ,12.935662,77.61413
3241,Drinks ,21.17106,72.789292
DE16,Meal ,0.0,0.0
A176,Buffet ,17.450851,78.379347
C8C7,Meal ,22.526461,88.364453
AA97,Snack ,23.371292,85.327872
A64C,Meal ,18.520016,73.830547
7DF5,Buffet ,13.029198,77.570997
869E,Meal ,23.416792,85.316842
7725,Meal ,18.520016,73.830547
B6D2,Drinks ,23.416792,85.316842
6EDB,Meal ,18.546258,73.904337
AAB4,Buffet ,13.026286,80.275235
AABD,Buffet ,26.921411,75.793604
C873,Drinks ,22.552672,88.352885
1494,Meal ,12.352058,76.60665
1875,Drinks ,11.022298,76.998349
2AF5,Meal ,11.008638,76.984311
97B6,Snack ,21.149669,72.772629
A56E,Meal ,12.972161,77.596014
AA3F,Drinks ,13.049645,80.242268
6226,Snack ,0.0,0.0
996B,Drinks ,17.430448,78.418213
C595,Meal ,30.372202,78.077151
6BFB,Snack ,19.176269,72.836721
7E1F,Drinks ,23.351489,85.324253
B20D,Buffet ,0.0,0.0
A11B,Snack ,0.0,0.0
1DB4,Meal ,18.530963,73.828972
2258,Snack ,26.766536,75.837333
1FD6,Meal ,22.722634,75.886959
6DE1,Drinks ,12.98041,77.640489
8B39,Drinks ,22.307898,73.167788
8F8,Snack ,0.0,0.0
997B,Meal ,19.091458,72.827808
CDB6,Buffet ,19.874733,75.353942
5A7A,Buffet ,13.045479,80.23311
6DE3,Meal ,26.956431,75.776649
E27A,Drinks ,10.027014,76.308053
AB52,Drinks ,11.008638,76.984311
4632,Buffet ,13.022394,80.242439
4B8A,Drinks ,19.065838,72.832658
1623,Meal ,22.75004,75.902847
AA66,Drinks ,0.0,0.0
7EA,Drinks ,21.173493,72.801953
4DFA,Snack ,13.029198,77.570997
A667,Meal ,13.026279,80.174568
6E9D,Buffet ,13.091809,80.219104
5807,Meal ,0.0,0.0
9A32,Drinks ,22.308096,73.167753
917D,Snack ,21.183434,72.814492
8673,Buffet ,0.0,0.0
4AC4,Snack ,18.533811,73.899315
1B6A,Meal ,23.351489,85.324253
7BD7,Snack ,11.003681,76.975525
9735,Buffet ,21.149669,72.772629
1A54,Buffet ,12.975377,77.696664
819D,Meal ,22.311358,73.164798
96F0,Meal ,12.986047,80.218114
66F1,Buffet ,21.175975,72.795503
C6E9,Meal ,15.496162,73.825364
B8AA,Snack ,26.913726,75.75282
C668,Drinks ,22.569367,88.433187
4C13,Drinks ,21.170798,72.790489
824A,Buffet ,22.74806,75.8934
CB5B,Drinks ,30.895817,75.813112
4CAB,Meal ,23.357804,85.325146
AFC4,Snack ,11.010375,76.95295
C003,Snack ,-30.366322,-78.070453
18C0,Buffet ,12.323994,76.626167
1655,Drinks ,19.120083,72.907385
7573,Buffet ,18.563934,73.915367
9201,Meal ,12.906229,77.596791
A940,Snack ,12.933298,77.614293
604,Drinks ,12.337978,76.616792
D6EF,Meal ,27.161661,78.011544
B39B,Snack ,12.337928,76.617889
8CE7,Drinks ,13.066762,80.251865
9873,Drinks ,10.994136,76.963303
29AB,Meal ,17.440827,78.393391
8198,Buffet ,11.003681,76.975525
7B24,Meal ,13.064181,80.236442
92EC,Drinks ,13.066762,80.251865
1ACA,Drinks ,21.160437,72.774209
A348,Buffet ,19.091458,72.827808
C733,Drinks ,0.0,0.0
14D0,Drinks ,23.416792,85.316842
D800,Buffet ,30.362686,78.06889
17DB,Drinks ,22.725748,75.898497
6D58,Drinks ,17.410371,78.437225
DED5,Meal ,0.0,0.0
A20A,Drinks ,18.56245,73.916619
7C9E,Snack ,12.972161,77.596014
5EF3,Buffet ,23.416792,85.316842
80C2,Meal ,12.906229,77.596791
D2B0,Drinks ,9.979186,76.317361
70FF,Drinks ,13.049645,80.242268
548E,Meal ,17.411028,78.329645
26F1,Buffet ,12.933284,77.615428
4A1B,Drinks ,11.000762,76.981876
BF6C,Buffet ,0.0,0.0
5561,Drinks ,18.539299,73.897902
AFD4,Buffet ,11.022298,76.998349
6957,Drinks ,22.310329,73.169083
9151,Buffet ,12.949934,77.699386
9D4C,Snack ,11.022169,76.999594
D413,Meal ,19.875908,75.358888
C677,Meal ,10.006881,76.345397
4421,Drinks ,12.326356,76.619103
A631,Snack ,17.431477,78.40035
3A16,Snack ,26.88842,75.800689
DF8E,Drinks ,0.0,0.0
A04,Snack ,11.003669,76.976494
4300,Buffet ,0.0,0.0
58C2,Drinks ,13.022394,80.242439
BBC6,Buffet ,18.51421,73.838429
50C4,Buffet ,12.352058,76.60665
BCD5,Buffet ,21.186884,72.793616
6234,Drinks ,22.307898,73.167788
CC11,Meal ,19.875522,75.367127
6445,Snack ,26.892312,75.806896
33DC,Drinks ,22.310237,73.158921
ACD8,Snack ,23.359033,85.325347
BFB4,Snack ,22.552996,88.35231
D989,Drinks ,22.538731,88.364878
8B3F,Buffet ,22.311603,73.165012
DEB4,Snack ,30.895204,75.822103
A243,Snack ,17.428294,78.404423
D446,Drinks ,25.450329,81.834279
6436,Buffet ,18.546947,73.900626
5D2D,Meal ,26.956431,75.776649
BB22,Buffet ,13.026279,80.174568
8B2B,Buffet ,19.1813,72.836191
C1EC,Buffet ,30.340722,78.060221
DE6F,Buffet ,19.874733,75.353942
33A0,Drinks ,26.911927,75.797282
B712,Drinks ,13.058616,80.264151
8299,Drinks ,12.352058,76.60665
9E+30,Buffet ,0.0,0.0
9155,Buffet ,22.727021,75.884167
3D8C,Buffet ,22.651847,75.881991
D3FA,Drinks ,25.45235,81.841889
BB9,Drinks ,12.906229,77.596791
B012,Snack ,10.994136,76.963303
DCAA,Meal ,19.874733,75.353942
9587,Snack ,22.311603,73.165012
43BA,Meal ,17.411028,78.329645
5803,Buffet ,21.170798,72.790489
70F5,Drinks ,12.972532,77.608179
575D,Drinks ,23.359033,85.325347
6EF,Drinks ,17.426228,78.407495
4F3C,Buffet ,21.173493,72.801953
B9BC,Buffet ,0.0,0.0
B209,Drinks ,11.003669,76.976494
4F9A,Buffet ,12.972161,77.596014
8011,Drinks ,21.149669,72.772629
9692,Snack ,26.892312,75.806896
9415,Meal ,17.424114,78.347554
B6A0,Drinks ,0.0,0.0
7BF,Buffet ,21.170096,72.789122
7CB8,Meal ,22.760072,75.892574
953,Buffet ,12.325461,76.632278
9C8C,Buffet ,21.157735,72.768778
B38B,Drinks ,11.000762,76.981876
4D5B,Meal ,21.186884,72.793616
8F9E,Drinks ,21.157729,72.768726
3B2E,Drinks ,13.086438,80.220672
2CB6,Drinks ,26.846156,75.8023
9D2B,Snack ,21.157729,72.768726
7943,Drinks ,12.939496,77.625999
205D,Snack ,11.008638,76.984311
5AAD,Snack ,11.022477,76.995667
D747,Drinks ,27.160934,78.044095
AC01,Buffet ,22.725748,75.898497
9098,Drinks ,19.131141,72.813074
AFF,Meal ,12.323225,76.630028
A3A6,Snack ,18.51421,73.838429
473,Buffet ,-12.325461,-76.632278
E076,Snack ,0.0,0.0
8A91,Meal ,22.31279,73.170283
788D,Buffet ,26.905287,75.794592
6948,Meal ,12.975377,77.696664
2.8E+10,Snack ,17.422819,78.449578
53EA,Snack ,17.45971,78.368855
CD30,Drinks ,22.526461,88.364453
57CE,Drinks ,18.533811,73.899315
3D57,Snack ,12.906229,77.596791
DD28,Meal ,27.163303,78.057044
1B03,Snack ,22.695207,75.866059
9646,Buffet ,11.026117,76.944652
3E9B,Meal ,26.910262,75.783013
5A5D,Buffet ,0.0,0.0
33DD,Meal ,17.440827,78.393391
AB46,Snack ,22.727021,75.884167
A8B9,Meal ,0.0,0.0
7096,Meal ,18.569156,73.774723
23B8,Snack ,0.0,0.0
C55C,Snack ,19.875522,75.367127
9B27,Buffet ,18.593481,73.785901
BC03,Snack ,11.003008,76.97544
38C5,Snack ,26.914142,75.805704
2997,Buffet ,19.103249,72.846749
5AA4,Snack ,12.939496,77.625999
1D9C,Drinks ,19.055831,72.833984
B041,Meal ,23.416792,85.316842
5145,Meal ,12.934365,77.616155
91BA,Snack ,12.906229,77.596791
C951,Buffet ,30.359722,78.067079
B0E7,Buffet ,26.956431,75.776649
1A1E,Snack ,12.334022,76.618203
CDF 4.00,Snack ,23.214294,77.435361
AEA,Meal ,12.914264,77.6784
6723,Buffet ,26.956431,75.776649
326E,Snack ,12.326356,76.619103
1983,Drinks ,22.725835,75.887648
7648,Drinks ,23.359194,85.325447
8028,Snack ,11.006686,76.951736
5D47,Snack ,12.934179,77.615797
5FD4,Buffet ,21.173493,72.801953
A14D,Meal ,12.311072,76.654878
6B51,Meal ,13.029198,77.570997
A5DC,Buffet ,12.334022,76.618203
268B,Drinks ,12.323225,76.630028
15F4,Meal ,23.371292,85.327872
711A,Buffet ,26.766536,75.837333
21C3,Meal ,17.41233,78.449654
5AF,Snack ,-12.316967,76.603067
7022,Meal ,13.086438,80.220672
33B9,Buffet ,21.149834,72.778666
3B1E,Meal ,12.970221,77.645396
A085,Snack ,22.753659,75.903365
4390,Drinks ,11.003669,76.976494
56AA,Meal ,18.636215,73.751081
9797,Snack ,12.933298,77.614293
7B89,Drinks ,19.120083,72.907385
A2F8,Drinks ,0.0,0.0
B52C,Snack ,22.311603,73.165012
9571,Drinks ,17.431477,78.40035
2E2A,Buffet ,12.979166,77.640709
32B0,Snack ,23.416792,85.316842
3318,Meal ,12.933298,77.614293
7726,Drinks ,22.722634,75.886959
94DD,Drinks ,11.025083,77.015393
8227,Buffet ,26.849596,75.800512
FC1,Drinks ,22.31279,73.170283
8322,Buffet ,12.310972,76.659264
C082,Snack ,0.0,0.0
A635,Meal ,18.516216,73.842527
A35,Buffet ,22.751234,75.88949
33BE,Snack ,12.970221,77.645396
3D21,Meal ,23.371292,85.327872
D152,Meal ,23.234249,77.434007
1C01,Meal ,19.131141,72.813074
45F,Meal ,0.0,0.0
D550,Buffet ,25.457116,81.859682
7FFC,Snack ,13.029198,77.570997
9E4E,Drinks ,11.022298,76.998349
CEF2,Snack ,30.89286,75.822199
4E5A,Meal ,26.913483,75.803139
3776,Drinks ,12.98041,77.640489
CA9B,Meal ,0.0,0.0
BE1,Snack ,13.054347,80.257221
929,Snack ,19.120083,72.907385
9107,Meal ,13.044694,80.26147
7317,Buffet ,11.022477,76.995667
8464,Snack ,12.323978,76.627961
9AF2,Buffet ,17.41233,78.449654
8D48,Meal ,26.913987,75.752891
A077,Meal ,18.55144,73.804855
8FA0,Buffet ,21.186438,72.794115
291D,Buffet ,22.308096,73.167753
7B54,Meal ,18.539299,73.897902
895B,Drinks ,12.979096,77.640625
8583,Snack ,22.744648,75.894377
D6BF,Snack ,0.0,0.0
4340,Meal ,23.39925,85.390464
8C35,Snack ,21.175975,72.795503
DD00,Buffet ,19.874103,75.368419
DAC9,Buffet ,22.577821,88.400581
5D7A,Snack ,26.911378,75.789034
65B1,Meal ,12.310972,76.659264
80AA,Meal ,12.337978,76.616792
B22B,Meal ,23.354422,85.3329
1A31,Buffet ,26.911927,75.797282
C2BA,Buffet ,30.890184,75.829615
9892,Buffet ,26.892312,75.806896
DDB7,Drinks ,0.0,0.0
4CCE,Snack ,18.520016,73.830547
8B86,Buffet ,10.994136,76.963303
AD08,Snack ,22.75004,75.902847
D4DF,Drinks ,22.514119,88.362504
6561,Snack ,22.725748,75.898497
D02F,Buffet ,23.214294,77.435361
6932,Snack ,22.311844,73.165081
5697,Drinks ,26.846156,75.8023
25EB,Snack ,26.911378,75.789034
9ABF,Meal ,22.728163,75.884212
9790,Drinks ,11.003669,76.976494
768D,Drinks ,18.994049,72.825203
8E+03,Drinks ,21.17106,72.789292
2C5A,Buffet ,18.563934,73.915367
163C,Meal ,12.326356,76.619103
D398,Snack ,30.359722,78.067079
417B,Buffet ,21.160522,72.771477
4291,Meal ,21.186884,72.793616
5761,Snack ,13.058616,80.264151
C8F,Buffet ,0.0,0.0
A49A,Buffet ,22.308096,73.167753
B4E4,Meal ,11.025083,77.015393
BC1,Snack ,21.160437,72.774209
A866,Meal ,0.0,0.0
DB84,Snack ,25.457687,81.835585
7008,Snack ,11.006686,76.951736
A22E,Meal ,22.732225,75.874765
7820,Drinks ,11.026117,76.944652
9F9A,Meal ,0.0,0.0
41F5,Meal ,18.520016,73.830547
7D1A,Buffet ,23.369746,85.33982
3B72,Snack ,22.761593,75.886362
8C6A,Snack ,22.310237,73.158921
25A5,Meal ,21.170798,72.790489
CA3B,Drinks ,30.914057,75.83982
A598,Meal ,23.374878,85.335739
1812,Buffet ,26.902328,75.794257
5.3E+08,Meal ,18.546258,73.904337
DD8C,Snack ,23.233219,77.433571
2668,Meal ,18.536562,73.896485
4945,Drinks ,19.091458,72.827808
4D6A,Meal ,26.911927,75.797282
99B6,Drinks ,13.044694,80.26147
9869,Snack ,12.981615,80.231598
4593,Drinks ,12.972532,77.608179
CE38,Drinks ,0.0,0.0
ACDC,Drinks ,19.176269,72.836721
C947,Buffet ,23.184992,77.417227
DFA1,Snack ,26.49095,80.318656
4062,Drinks ,26.892312,75.806896
4B99,Buffet ,23.359407,85.325055
C529,Buffet ,22.538731,88.364878
B9D7,Drinks ,18.55144,73.804855
41EE,Drinks ,26.911927,75.797282
AE81,Drinks ,18.636215,73.751081
949A,Snack ,21.149834,72.778666
BB43,Buffet ,23.39925,85.390464
26BE,Meal ,23.357804,85.325146
CF60,Drinks ,22.551084,88.354127
665B,Buffet ,11.021278,76.995017
D086,Snack ,30.899992,75.831338
500F,Drinks ,17.431477,78.40035
7F7E,Meal ,12.933284,77.615428
B01D,Drinks ,18.994237,72.825553
5E+08,Snack ,17.428294,78.404423
DE8E,Snack ,0.0,0.0
411E,Meal ,12.337978,76.616792
D14C,Snack ,22.526461,88.364453
8CC7,Buffet ,17.411028,78.329645
5CDE,Meal ,22.722634,75.886959
2048,Snack ,12.981615,80.231598
759D,Snack ,12.949934,77.699386
1432,Drinks ,11.024839,77.007003
7A4D,Buffet ,13.044694,80.26147
DBAB,Snack ,0.0,0.0
5E+22,Buffet ,23.351058,85.325731
6C74,Drinks ,19.221315,72.862381
DC27,Drinks ,0.0,0.0
