order_id,delivery_partner_id,delivery_location_latitude,delivery_location_longitude,time_taken_min
25FD,BANGRES19DEL01,13.024264,77.7884,23.0
C1FF,AURGRES20DEL03,0.03,0.03,15.0
7AC8,COIMBRES14DEL02,11.083681,77.055525,36.0
3DA1,SURRES08DEL03,21.233343,72.852731,16.0
272D,COIMBRES07DEL03,11.05185,77.061082,19.0
DDC5,AGRRES12DEL03,27.255108,78.105053,27.0
8E6C,VADRES02DEL02,0.08,0.08,49.0
B002,JAPRES14DEL01,26.89842,75.810689,20.0
395B,VADRES04DEL03,0.06,0.06,30.0
8AA2,JAPRES18DEL02,26.993987,75.832891,18.0
B55A,MYSRES04DEL03,12.3385,76.695808,22.0
73CC,SURRES12DEL01,21.253434,72.884492,34.0
BE80,MUMRES04DEL01,19.364567,72.958923,24.0
1609,PUNERES02DEL01,18.59144,73.844855,17.0
D255,ALHRES07DEL02,25.469659,81.859744,14.0
DE72,DEHRES19DEL02,30.422202,78.127151,30.0
98AA,VADRES16DEL02,0.02,0.02,15.0
273A,VADRES09DEL01,0.04,0.04,16.0
A258,CHENRES12DEL03,13.062793,80.339982,36.0
8B53,SURRES11DEL01,21.197735,72.808778,18.0
BBDE,SURRES01DEL01,21.226438,72.834115,17.0
5DED,VADRES15DEL02,0.08,0.08,15.0
1A70,MYSRES14DEL02,0.02,0.02,17.0
A9F,BANGRES13DEL01,12.975662,77.65413,19.0
4B7F,HYDRES13DEL03,17.491477,78.46035,10.0
C606,BHPRES12DEL02,0.05,0.05,27.0
B962,CHENRES11DEL03,13.154181,80.326442,37.0
633C,BANGRES010DEL03,13.023298,77.704293,44.0
2DC6,VADRES20DEL01,22.351358,73.204798,28.0
903A,BANGRES11DEL01,13.044365,77.726155,42.0
C444,DEHRES01DEL01,0.11,0.11,25.0
1FB7,CHENRES02DEL01,13.196438,80.330672,39.0
34D7,MUMRES04DEL01,19.364567,72.958923,20.0
156B,JAPRES03DEL02,26.933483,75.823139,31.0
56AD,HYDRES04DEL03,17.471028,78.389645,13.0
837C,PUNERES14DEL02,18.566216,73.892527,28.0
CBC4,GOARES04DEL01,15.6096,73.782294,19.0
C19E,AURGRES08DEL02,19.956428,75.444792,42.0
1D60,BANGRES12DEL01,12.949496,77.635999,23.0
95FB,HYDRES05DEL01,17.543809,78.496744,39.0
8195,RANCHIRES17DEL01,23.384878,85.345739,25.0
C042,AGRRES010DEL01,27.233303,78.127044,15.0
6D19,INDORES12DEL02,22.76806,75.9134,15.0
3.5E+07,JAPRES15DEL03,26.981191,75.892083,15.0
B437,SURRES16DEL01,21.270437,72.884209,15.0
9.7E+04,MYSRES16DEL02,12.366967,76.653067,18.0
A3E0,MUMRES05DEL03,19.017584,72.922585,29.0
4161,COIMBRES19DEL02,11.072298,77.048349,20.0
1236,MYSRES07DEL01,12.365461,76.672278,39.0
2558,PUNERES17DEL01,18.640963,73.938972,19.0
3185,HYDRES19DEL03,17.488998,78.530366,19.0
3C57,MUMRES14DEL02,19.3113,72.966191,17.0
4863,COIMBRES02DEL01,11.032477,77.005667,15.0
6757,INDORES05DEL02,22.747021,75.904167,19.0
22AD,BANGRES03DEL03,13.069166,77.730709,29.0
9F99,MUMRES11DEL01,19.104237,72.935553,22.0
6781,MYSRES12DEL02,12.414747,76.755861,42.0
1B8D,SURRES09DEL02,21.195975,72.815503,12.0
1AEA,COIMBRES12DEL02,11.130762,77.111876,38.0
1E+42,SURRES08DEL01,21.283343,72.902731,23.0
DDC8,KNPRES05DEL02,26.499108,80.335042,15.0
24AC,SURRES05DEL02,21.255104,72.884342,24.0
3F01,MUMRES15DEL01,19.286269,72.946721,37.0
628C,BANGRES15DEL02,13.025377,77.746664,24.0
6C38,RANCHIRES11DEL03,23.419194,85.385447,13.0
4BEB,MYSRES08DEL01,12.307954,76.675169,16.0
8339,RANCHIRES07DEL02,23.439407,85.405055,42.0
3EC5,RANCHIRES01DEL03,23.506792,85.406842,17.0
ADB4,JAPRES17DEL03,26.922313,75.836896,25.0
6E+02,VADRES06DEL01,22.42279,73.280283,25.0
2BC0,INDORES14DEL01,22.871593,75.996362,39.0
9.9E+08,COIMBRES17DEL01,11.066117,76.984652,18.0
39EF,CHENRES11DEL01,13.104181,80.276442,28.0
E264,KNPRES17DEL02,26.533042,80.367833,18.0
BD03,COIMBRES12DEL02,11.130762,77.111876,18.0
9A29,RANCHIRES04DEL01,23.469033,85.435347,49.0
D0E5,KOLRES17DEL03,22.599358,88.463452,15.0
A480,BANGRES19DEL02,12.994264,77.7584,21.0
B46C,MUMRES17DEL01,19.161999,72.948493,23.0
7150,SURRES14DEL01,21.167729,72.778726,11.0
1E+58,VADRES14DEL03,22.371603,73.225012,25.0
4460,PUNERES09DEL02,18.556562,73.916485,18.0
977D,INDORES19DEL02,22.765536,75.913106,14.0
1602,BANGRES010DEL03,13.023298,77.704293,36.0
894E,BANGRES12DEL02,12.989496,77.675999,18.0
5A01,VADRES04DEL01,0.04,0.04,17.0
655,HYDRES14DEL01,17.436228,78.417495,28.0
20F6,BANGRES11DEL03,13.024365,77.706155,44.0
3DB1,COIMBRES13DEL03,11.063669,77.036494,20.0
1EC7,PUNERES05DEL03,18.573626,73.935101,19.0
8ED2,VADRES20DEL01,22.381358,73.234798,35.0
64CC,CHENRES19DEL01,13.096047,80.328114,50.0
2ED0,HYDRES02DEL03,17.47233,78.509654,34.0
4008,SURRES010DEL02,21.25106,72.869292,17.0
7553,SURRES03DEL01,21.226884,72.833616,23.0
35D8,COIMBRES17DEL03,11.056117,76.974652,27.0
9832,VADRES08DEL01,0.04,0.04,26.0
4C88,MUMRES08DEL01,19.135838,72.902658,35.0
9693,VADRES18DEL01,0.04,0.04,41.0
81A5,BANGRES04DEL03,13.04041,77.700489,23.0
AE56,COIMBRES02DEL01,11.132477,77.105667,30.0
8D18,RANCHIRES12DEL02,0.02,0.02,19.0
9CBA,VADRES18DEL01,0.01,0.01,27.0
9B79,MYSRES13DEL01,12.350972,76.699264,28.0
596A,COIMBRES03DEL02,11.105083,77.095393,24.0
78AA,MYSRES16DEL02,12.446967,76.733067,36.0
D7EC,KOLRES04DEL03,22.598731,88.424878,28.0
55B1,COIMBRES11DEL01,11.111753,77.096241,31.0
8.7E+05,VADRES13DEL03,22.400237,73.248921,44.0
82C3,RANCHIRES04DEL02,23.439033,85.405347,15.0
5397,PUNERES18DEL01,18.663481,73.855901,33.0
876B,SURRES01DEL02,21.236438,72.844115,30.0
3A5A,INDORES08DEL02,22.775748,75.948497,22.0
5.1E+05,VADRES18DEL01,0.07,0.07,43.0
5631,HYDRES18DEL03,17.540851,78.469347,48.0
1DAC,CHENRES07DEL03,13.171878,80.338519,19.0
DE01,KOCRES010DEL01,10.105573,76.406958,21.0
8771,VADRES11DEL02,22.388096,73.247753,44.0
3645,CHENRES20DEL01,12.985996,80.231898,26.0
1FF1,MYSRES04DEL03,12.3385,76.695808,26.0
4A3C,MUMRES13DEL01,19.188321,72.844715,31.0
6E0D,RANCHIRES03DEL03,0.06,0.06,19.0
6CC6,JAPRES08DEL02,26.990262,75.863013,18.0
C141,ALHRES12DEL01,25.513994,81.930187,38.0
690F,RANCHIRES11DEL03,23.449194,85.415447,32.0
B4BA,HYDRES19DEL02,17.508998,78.550366,17.0
63A9,PUNERES17DEL03,18.590963,73.888972,11.0
88DD,MYSRES010DEL01,12.361214,76.661094,31.0
1B58,JAPRES03DEL01,26.983483,75.873139,43.0
87A8,MYSRES04DEL03,12.3685,76.725808,25.0
3F8D,MUMRES06DEL03,19.115831,72.893984,22.0
290C,MYSRES18DEL01,12.407928,76.687889,43.0
7ECE,RANCHIRES18DEL01,23.421489,85.394253,42.0
1365,INDORES06DEL02,22.808163,75.964212,42.0
33A4,CHENRES15DEL03,13.056286,80.305235,34.0
8F3C,JAPRES07DEL02,26.786536,75.857333,17.0
2FE1,SURRES18DEL03,21.179834,72.808666,25.0
4B5B,MYSRES04DEL03,12.3985,76.755808,54.0
7405,SURRES19DEL01,21.219669,72.842629,21.0
6245,HYDRES04DEL01,17.451028,78.369645,34.0
D02B,KNPRES16DEL03,26.572581,80.405628,36.0
1F0E,MYSRES12DEL03,12.344747,76.685861,17.0
7085,JAPRES09DEL01,26.921378,75.799034,16.0
57FA,CHENRES04DEL02,13.10978,80.288812,27.0
57FC,MYSRES09DEL01,12.363194,76.670583,26.0
7A1F,PUNERES19DEL03,18.653934,74.005367,46.0
CEAC,KOLRES18DEL03,22.629367,88.493187,29.0
A0A5,BANGRES14DEL03,13.009934,77.759386,23.0
892D,SURRES09DEL02,21.255975,72.875503,11.0
6118,INDORES09DEL01,22.835835,75.997648,28.0
46FD,PUNERES09DEL03,18.596562,73.956485,25.0
5134,RANCHIRES01DEL02,23.436792,85.336842,11.0
D418,LUDHRES010DEL03,30.92286,75.852199,26.0
256C,MYSRES13DEL02,12.330972,76.679264,23.0
6055,JAPRES18DEL02,26.993987,75.832891,39.0
7BFB,COIMBRES11DEL02,11.021753,77.006241,11.0
7220,VADRES13DEL02,22.390237,73.238921,32.0
1568,BANGRES01DEL01,13.003284,77.685428,43.0
41EA,MYSRES08DEL01,12.337954,76.705169,13.0
1C60,MYSRES15DEL01,12.362058,76.61665,25.0
7944,CHENRES02DEL03,13.146439,80.280672,27.0
77EE,HYDRES12DEL01,17.469585,78.432621,29.0
2192,BANGRES07DEL01,13.048453,77.713685,33.0
48C7,CHENRES09DEL01,13.084694,80.30147,19.0
78BF,BANGRES04DEL02,13.11041,77.770489,33.0
7A5A,VADRES04DEL03,0.06,0.06,28.0
4321,JAPRES13DEL02,26.926156,75.8823,15.0
E00D,ALHRES07DEL03,25.479659,81.869744,29.0
1E+86,JAPRES06DEL03,27.051927,75.937282,18.0
CFF0,KOCRES03DEL01,10.030683,76.320631,14.0
1E2D,BANGRES13DEL01,12.975662,77.65413,30.0
D072,GOARES02DEL01,15.625658,73.783606,28.0
9A57,RANCHIRES03DEL02,0.13,0.13,39.0
427B,HYDRES12DEL03,17.519585,78.482621,30.0
5.2E+03,JAPRES07DEL02,26.896536,75.967333,36.0
9395,JAPRES13DEL03,26.986156,75.9423,37.0
B5D2,JAPRES18DEL03,27.053987,75.892891,43.0
6C4D,VADRES05DEL01,22.420526,73.280937,29.0
D1C8,AURGRES02DEL03,0.03,0.03,25.0
98CA,BANGRES17DEL02,13.022532,77.658179,15.0
1B5B,RANCHIRES14DEL01,0.07,0.07,24.0
644B,MUMRES20DEL03,19.193249,72.936749,39.0
7A2D,HYDRES14DEL02,17.506228,78.487495,20.0
E13F,KNPRES02DEL02,26.491617,80.333564,15.0
C278,AURGRES19DEL01,19.976969,75.428894,16.0
5912,PUNERES18DEL01,18.603481,73.795901,19.0
AB33,BANGRES08DEL02,12.986229,77.676791,20.0
DD96,KNPRES16DEL01,26.552581,80.385628,25.0
7646,BANGRES010DEL02,13.013298,77.694293,43.0
5EF5,INDORES03DEL02,22.881857,75.996699,15.0
7EF7,COIMBRES16DEL02,11.090375,77.03295,29.0
1136,HYDRES20DEL01,17.523216,78.592111,14.0
D032,AGRRES08DEL03,27.220934,78.104095,11.0
199D,COIMBRES15DEL02,11.056686,77.001736,19.0
871C,RANCHIRES12DEL02,0.08,0.08,29.0
CF18,ALHRES05DEL01,25.497687,81.875585,11.0
1DAD,MUMRES01DEL01,19.13663,72.839976,14.0
C918,AURGRES14DEL03,19.965016,75.412405,15.0
33C1,MUMRES13DEL01,19.248321,72.904715,16.0
1B50,PUNERES16DEL01,18.646718,73.940327,43.0
27FE,CHENRES14DEL02,13.046279,80.194568,20.0
1536,HYDRES06DEL03,17.485894,78.405467,26.0
A152,SURRES18DEL03,21.209834,72.838666,26.0
9C9A,COIMBRES02DEL01,11.092477,77.065667,43.0
3052,VADRES13DEL03,22.370237,73.218921,25.0
1045,COIMBRES16DEL01,11.050375,76.99295,28.0
2391,INDORES13DEL03,22.835049,75.982471,17.0
7DDD,INDORES12DEL03,22.83806,75.9834,44.0
279F,MUMRES13DEL03,19.268321,72.924715,33.0
E76,CHENRES06DEL02,13.104347,80.307221,19.0
AEFA,BANGRES06DEL03,13.009096,77.670625,15.0
DAD6,AGRRES11DEL02,27.293303,78.187044,27.0
C237,KNPRES15DEL02,26.502419,80.340939,25.0
4EFC,VADRES13DEL01,22.350237,73.198921,18.0
6E+33,VADRES01DEL03,22.367898,73.227788,21.0
D92F,AGRRES03DEL01,27.230832,78.081608,53.0
D902,KOCRES14DEL01,10.137014,76.418053,42.0
D91A,LUDHRES18DEL01,31.000184,75.939615,20.0
4F0C,COIMBRES14DEL02,11.133681,77.105525,29.0
8456,CHENRES19DEL01,13.096047,80.328114,15.0
3329,COIMBRES15DEL02,11.056686,77.001736,30.0
1AA8,SURRES20DEL02,21.28276,72.908059,28.0
144D,INDORES18DEL02,22.773839,75.917429,19.0
D27B,AURGRES04DEL02,20.006106,75.470775,15.0
ADD6,CHENRES01DEL01,13.115801,80.360744,50.0
7C60,BANGRES010DEL01,12.943298,77.624293,41.0
4FB8,VADRES09DEL01,0.07,0.07,37.0
1406,VADRES15DEL03,0.06,0.06,28.0
C63E,DEHRES010DEL01,30.398174,78.119117,35.0
7B03,BANGRES07DEL01,13.048453,77.713685,27.0
4314,CHENRES05DEL02,13.138616,80.344151,43.0
9E5A,JAPRES06DEL03,26.971927,75.857282,12.0
C044,AGRRES12DEL03,27.225108,78.075053,31.0
D7D3,DEHRES12DEL02,0.13,0.13,39.0
70B1,VADRES01DEL01,22.417898,73.277788,47.0
5.9E+06,SURRES13DEL02,21.220096,72.839122,26.0
DEAC,LUDHRES05DEL03,30.995562,75.922841,31.0
A053,JAPRES16DEL03,26.989596,75.940512,42.0
4DB,PUNERES02DEL03,18.61144,73.864855,12.0
7031,COIMBRES14DEL01,11.043681,77.015525,25.0
D3BC,AGRRES010DEL02,27.243303,78.137044,39.0
8DE9,SURRES14DEL03,21.247729,72.858726,21.0
7C84,JAPRES04DEL03,26.932328,75.824257,18.0
96D2,JAPRES01DEL03,26.99519,75.900753,22.0
77B5,HYDRES010DEL02,17.448294,78.424423,23.0
75DC,MYSRES16DEL02,12.446967,76.733067,48.0
BE78,BANGRES15DEL02,13.055377,77.776664,13.0
35A2,CHENRES15DEL02,13.046286,80.295235,32.0
416F,MYSRES05DEL02,12.453978,76.757961,16.0
A4F5,COIMBRES03DEL03,11.055083,77.045393,19.0
A4EB,BANGRES01DEL02,12.953284,77.635428,18.0
D4DA,KNPRES12DEL01,26.562106,80.397797,27.0
B59B,MUMRES010DEL01,19.073517,72.89765,25.0
4F73,COIMBRES20DEL03,11.024136,76.993303,31.0
6A7,RANCHIRES08DEL01,23.463783,85.436967,39.0
ADAE,HYDRES16DEL01,17.510827,78.463391,20.0
B785,MUMRES01DEL02,19.20663,72.909976,38.0
8366,MYSRES08DEL03,12.327954,76.695169,19.0
BFF2,AURGRES16DEL03,0.03,0.03,17.0
8F58,VADRES11DEL01,22.318096,73.177753,24.0
247C,MYSRES09DEL02,12.343194,76.650583,26.0
43B9,HYDRES18DEL03,17.510851,78.439347,28.0
9E8A,PUNERES05DEL02,18.623626,73.985101,16.0
47AF,VADRES04DEL03,0.03,0.03,17.0
1B40,MYSRES02DEL03,12.364569,76.703622,24.0
B4FB,MYSRES03DEL01,12.369524,76.71262,24.0
B50,JAPRES16DEL02,26.869596,75.820512,34.0
3376,MUMRES010DEL01,19.013517,72.83765,16.0
BECB,SURRES15DEL02,21.210522,72.821477,26.0
4357,INDORES06DEL02,22.858163,76.014212,25.0
1486,VADRES06DEL01,22.38279,73.240283,49.0
5B70,BANGRES04DEL02,13.06041,77.720489,24.0
490E,RANCHIRES12DEL02,0.02,0.02,32.0
3E+21,MUMRES19DEL03,19.16114,72.843074,26.0
26D4,HYDRES05DEL03,17.523809,78.476744,24.0
B20F,HYDRES010DEL02,17.558294,78.534423,16.0
7ADA,JAPRES07DEL02,26.896536,75.967333,27.0
C4B3,AURGRES12DEL02,19.899631,75.343403,25.0
2A01,CHENRES15DEL02,13.046286,80.295235,26.0
6357,MUMRES07DEL03,19.151458,72.887808,25.0
73C,VADRES12DEL03,0.03,0.03,26.0
9C2A,JAPRES16DEL01,26.859596,75.810512,15.0
31BD,BANGRES09DEL02,12.954179,77.635797,18.0
970A,PUNERES12DEL02,18.570016,73.880547,30.0
2675,CHENRES19DEL01,13.096047,80.328114,46.0
A200,SURRES07DEL01,21.280798,72.900489,24.0
9BF9,PUNERES19DEL01,18.603935,73.955367,37.0
555D,INDORES15DEL03,22.850072,75.982574,27.0
5BD9,MUMRES01DEL01,19.16663,72.869976,27.0
B2E9,INDORES17DEL03,22.821226,75.947522,32.0
8633,MUMRES13DEL02,19.198321,72.854715,28.0
4C34,SURRES18DEL02,21.199834,72.828666,29.0
A998,JAPRES14DEL01,26.89842,75.810689,27.0
5EFD,MYSRES08DEL01,12.307954,76.675169,11.0
8D83,HYDRES19DEL03,17.518998,78.560366,13.0
8A06,RANCHIRES010DEL02,23.484422,85.4629,27.0
5A2D,CHENRES09DEL01,13.084694,80.30147,25.0
4C1,BANGRES13DEL02,13.065662,77.74413,26.0
83EA,RANCHIRES01DEL01,23.456792,85.356842,27.0
2185,PUNERES12DEL01,18.630016,73.940547,26.0
1.2E+08,INDORES07DEL03,22.812634,75.976959,32.0
5956,INDORES19DEL02,22.765536,75.913106,25.0
7814,VADRES04DEL03,0.03,0.03,32.0
CEE,BANGRES20DEL01,13.042161,77.666014,42.0
5A07,MYSRES02DEL02,12.354569,76.693622,29.0
340F,SURRES05DEL01,21.245104,72.874342,32.0
8094,BANGRES13DEL02,13.015662,77.69413,35.0
3241,SURRES010DEL01,21.21106,72.829292,27.0
DE16,ALHRES09DEL01,0.01,0.01,15.0
A176,HYDRES18DEL02,17.500851,78.429347,27.0
C8C7,KOLRES03DEL02,22.576461,88.414453,30.0
AA97,RANCHIRES16DEL01,23.441292,85.397872,32.0
A64C,PUNERES12DEL01,18.530016,73.840547,25.0
7DF5,BANGRES16DEL03,13.059198,77.600997,38.0
869E,RANCHIRES01DEL03,23.476792,85.376842,26.0
7725,PUNERES12DEL01,18.630016,73.940547,31.0
B6D2,RANCHIRES01DEL02,23.436792,85.336842,28.0
6EDB,PUNERES06DEL01,18.656258,74.014337,31.0
AAB4,CHENRES15DEL01,13.136286,80.385235,29.0
AABD,JAPRES010DEL03,26.981411,75.853604,17.0
C873,KOLRES15DEL03,22.642672,88.442885,45.0
1494,MYSRES15DEL02,12.432058,76.68665,34.0
1875,COIMBRES19DEL01,11.132298,77.108349,24.0
2AF5,COIMBRES09DEL03,11.068638,77.044311,44.0
97B6,SURRES19DEL02,21.199669,72.822629,36.0
A56E,BANGRES20DEL03,13.002161,77.626014,28.0
AA3F,CHENRES16DEL03,13.139645,80.332268,37.0
6226,RANCHIRES12DEL03,0.06,0.06,10.0
996B,HYDRES11DEL03,17.520448,78.508213,23.0
C595,DEHRES19DEL01,30.442202,78.147151,22.0
6BFB,MUMRES15DEL01,19.216269,72.876721,26.0
7E1F,RANCHIRES18DEL03,23.411489,85.384253,34.0
B20D,VADRES07DEL01,0.04,0.04,26.0
A11B,VADRES04DEL01,0.11,0.11,21.0
1DB4,PUNERES17DEL03,18.590963,73.888972,28.0
2258,JAPRES07DEL03,26.826536,75.897333,14.0
1FD6,INDORES07DEL01,22.762634,75.926959,17.0
6DE1,BANGRES04DEL03,13.01041,77.670489,37.0
8B39,VADRES01DEL01,22.417898,73.277788,42.0
8F8,VADRES18DEL01,0.07,0.07,17.0
997B,MUMRES07DEL01,19.201458,72.937808,34.0
CDB6,AURGRES03DEL01,19.984733,75.463942,25.0
5A7A,CHENRES17DEL01,13.155479,80.34311,30.0
6DE3,JAPRES20DEL03,27.046431,75.866649,48.0
E27A,KOCRES14DEL02,10.157014,76.438053,18.0
AB52,COIMBRES09DEL02,11.138638,77.114311,28.0
4632,CHENRES08DEL03,13.112394,80.332439,26.0
4B8A,MUMRES08DEL01,19.175838,72.942658,16.0
1623,INDORES010DEL03,22.78004,75.932847,25.0
AA66,RANCHIRES03DEL02,0.13,0.13,22.0
7EA,SURRES04DEL03,21.203493,72.831953,15.0
4DFA,BANGRES16DEL01,13.039198,77.580997,28.0
A667,CHENRES14DEL01,13.036279,80.184568,20.0
6E9D,CHENRES03DEL01,13.131809,80.259104,32.0
5807,VADRES09DEL02,0.13,0.13,17.0
9A32,VADRES11DEL01,22.348096,73.207753,38.0
917D,SURRES12DEL02,21.203434,72.834492,14.0
8673,VADRES04DEL01,0.04,0.04,26.0
4AC4,PUNERES11DEL03,18.623811,73.989315,30.0
1B6A,RANCHIRES18DEL02,23.431489,85.404253,28.0
7BD7,COIMBRES14DEL02,11.053681,77.025525,29.0
9735,SURRES19DEL02,21.279669,72.902629,12.0
1A54,BANGRES15DEL01,13.045377,77.766664,49.0
819D,VADRES20DEL01,22.421358,73.274798,42.0
96F0,CHENRES19DEL01,13.056047,80.288114,24.0
66F1,SURRES09DEL01,21.285975,72.905503,46.0
C6E9,GOARES17DEL01,15.536162,73.865364,27.0
B8AA,JAPRES19DEL02,26.933726,75.77282,13.0
C668,KOLRES18DEL01,22.639367,88.503187,25.0
4C13,SURRES07DEL02,21.300798,72.920489,24.0
824A,INDORES12DEL01,22.75806,75.9034,12.0
CB5B,LUDHRES16DEL01,30.905817,75.823112,24.0
4CAB,RANCHIRES06DEL03,23.417804,85.385146,29.0
AFC4,COIMBRES16DEL02,11.090375,77.03295,18.0
C003,DEHRES13DEL02,30.496322,78.200453,20.0
18C0,MYSRES06DEL03,12.353994,76.656167,13.0
1655,MUMRES16DEL01,19.190083,72.977385,23.0
7573,PUNERES19DEL02,18.643935,73.995367,19.0
9201,BANGRES08DEL01,13.016229,77.706791,29.0
A940,BANGRES010DEL03,13.023298,77.704293,24.0
604,MYSRES20DEL01,12.377978,76.656792,27.0
D6EF,AGRRES01DEL02,27.241661,78.091544,40.0
B39B,MYSRES18DEL01,12.347928,76.627889,22.0
8CE7,CHENRES010DEL01,13.076762,80.261865,12.0
9873,COIMBRES20DEL02,11.074136,77.043303,43.0
29AB,HYDRES16DEL01,17.550827,78.503391,26.0
8198,COIMBRES14DEL03,11.033681,77.005525,27.0
7B24,CHENRES11DEL03,13.154181,80.326442,35.0
92EC,CHENRES010DEL02,13.116762,80.301865,27.0
1ACA,SURRES16DEL01,21.200437,72.814209,27.0
A348,MUMRES07DEL02,19.111458,72.847808,17.0
C733,ALHRES11DEL01,0.07,0.07,17.0
14D0,RANCHIRES01DEL03,23.476792,85.376842,15.0
D800,DEHRES07DEL02,30.492686,78.19889,39.0
17DB,INDORES08DEL03,22.755747,75.928497,25.0
6D58,HYDRES01DEL01,17.520371,78.547225,18.0
DED5,ALHRES11DEL02,0.08,0.08,48.0
A20A,PUNERES13DEL03,18.65245,74.006619,28.0
7C9E,BANGRES20DEL02,12.992161,77.616014,29.0
5EF3,RANCHIRES01DEL03,23.446792,85.346842,32.0
80C2,BANGRES08DEL02,13.036229,77.726791,41.0
D2B0,KOCRES20DEL01,10.049186,76.387361,39.0
70FF,CHENRES16DEL03,13.079645,80.272268,16.0
548E,HYDRES04DEL02,17.541028,78.459645,48.0
26F1,BANGRES01DEL01,13.003284,77.685428,40.0
4A1B,COIMBRES12DEL02,11.020762,77.001876,11.0
BF6C,LUDHRES07DEL02,0.08,0.08,19.0
5561,PUNERES010DEL01,18.609299,73.967902,35.0
AFD4,COIMBRES19DEL02,11.042298,77.018349,16.0
6957,VADRES010DEL02,22.360329,73.219083,15.0
9151,BANGRES14DEL02,12.999934,77.749386,31.0
9D4C,COIMBRES05DEL03,11.082169,77.059594,11.0
D413,AURGRES07DEL02,19.925908,75.408888,22.0
C677,KOCRES11DEL01,10.076881,76.415397,16.0
4421,MYSRES17DEL01,12.366356,76.659103,24.0
A631,HYDRES13DEL02,17.451477,78.42035,16.0
3A16,JAPRES14DEL03,27.02842,75.940689,42.0
DF8E,AURGRES20DEL01,0.01,0.01,31.0
A04,COIMBRES13DEL01,11.073669,77.046494,31.0
4300,VADRES07DEL02,0.02,0.02,33.0
58C2,CHENRES08DEL02,13.072394,80.292439,16.0
BBC6,PUNERES04DEL01,18.62421,73.948429,16.0
50C4,MYSRES15DEL01,12.462058,76.71665,25.0
BCD5,SURRES03DEL01,21.196884,72.803616,18.0
6234,VADRES01DEL01,22.417898,73.277788,26.0
CC11,AURGRES05DEL02,19.925522,75.417127,34.0
6445,JAPRES17DEL02,26.972313,75.886896,32.0
33DC,VADRES13DEL01,22.420237,73.268921,22.0
ACD8,RANCHIRES04DEL03,23.449033,85.415347,50.0
BFB4,KOLRES14DEL02,22.572996,88.37231,16.0
D989,KOLRES04DEL03,22.598731,88.424878,23.0
8B3F,VADRES14DEL01,22.351603,73.205012,19.0
